統合ID,文字,カード番号,字体数,例数,部首,,,,,,
00069,丹,0001,0,1,003,,,,,,
00118,乾,0002,0,1,005,,,,,,
00104,乙,0003,0,1,005,,,,,,
00405,假,0004,0,1,009,,,,,,
00176,介,0005,0,1,009,,,,,,
00258,佞,0006,0,1,009,,,,,,
00493,僕,0007,0,1,009,,,,,,
00455,備,0008,0,1,009,,,,,,
00173,仆,0009,0,1,009,,,,,,
00182,仕,0010,0,1,009,,,,,,
00206,任,0011,0,1,009,,,,,,
00244,低,0012,0,1,009,,,,,,
00230,伴,0013,0,1,009,,,,,,
00233,伺,0014,0,1,009,,,,,,
00382,借,0015,0,1,009,,,,,,
00236,伽,0016,0,1,009,,,,,,
00368,倍,0017,0,1,009,,,,,,
00345,信,0018,0,1,009,,,,,,
00238,佃,0019,0,1,009,,,,,,
00267,佳,0020,0,1,009,,,,,,
00360,俾,0021,0,1,009,,,,,,
00391,倫,0022,0,1,009,,,,,,
00325,俄,0023,0,1,009,,,,,,
00350,倶,0024,0,1,009,,,,,,
00471,債,0025,0,1,009,,,,,,
00264,00264,0026,0,1,009,,,,,,
00417,停,0027,0,1,009,,,,,,
00450,傑,0028,0,1,009,,,,,,
00616,冀,0029,0,1,012,,,,,,
00636,冒,0030,0,1,013,,,,,,
00696,凝,0031,0,1,015,,,,,,
00718,凶,0032,0,1,017,,,,,,
00735,切,0033,0,1,018,,,,,,
00736,刈,0034,0,1,018,,,,,,
00791,削,0035,0,1,018,,,,,,
00857,功,0036,0,1,019,,,,,,
00863,助,0037,0,1,019,,,,,,
00918,勾,0038,0,1,020,,,,,,
00932,匐,0039,0,1,020,,,,,,
00930,匍,0040,0,1,020,,,,,,
01004,卒,0041,0,1,024,,,,,,
01058,厄,0042,0,1,027,,,,,,
01068,厚,0043,0,1,027,,,,,,
01466,嘆,0044,0,1,030,,,,,,
01595,嚢,0045,0,1,030,,,,,,
01373,啓,0046,0,1,030,,,,,,
01143,句,0047,0,1,030,,,,,,
01189,吠,0048,0,1,030,,,,,,
01236,呪,0049,0,1,030,,,,,,
01288,咸,0050,0,1,030,,,,,,
01235,周,0051,0,1,030,,,,,,
01451,嗟,0052,0,1,030,,,,,,
01387,啼,0053,0,1,030,,,,,,
01584,嚼,0054,0,1,030,,,,,,
01532,01532,0055,0,1,030,,,,,,
01740,城,0056,0,1,032,,,,,,
01851,墜,0057,0,1,032,,,,,,
01863,墮,0058,0,1,032,,,,,,
01839,境,0059,0,1,032,,,,,,
01727,垣,0060,0,1,032,,,,,,
01899,壤,0061,0,1,032,,,,,,
01779,01779,0062,0,1,032,,,,,,
01908,壷,0063,0,1,033,,,,,,
01913,壽,0064,0,1,033,,,,,,
01903,士,0065,0,1,033,,,,,,
01934,外,0066,0,1,036,,,,,,
01961,夷,0067,0,1,037,,,,,,
01994,奘,0068,0,1,037,,,,,,
01981,奏,0069,0,1,037,,,,,,
01986,奔,0070,0,1,037,,,,,,
01968,奄,0071,0,1,037,,,,,,
02040,02040,0072,0,1,038,,,,,,
02077,姓,0073,0,1,038,,,,,,
02177,媚,0074,0,1,038,,,,,,
02093,姨,0075,0,1,038,,,,,,
02045,妙,0076,0,1,038,,,,,,
02110,娑,0077,0,1,038,,,,,,
02142,婆,0078,0,1,038,,,,,,
02098,妍,0079,0,1,038,,,,,,
02178,媛,0080,0,1,038,,,,,,
02029,好,0081,0,1,038,,,,,,
02090,姥,0082,0,1,038,,,,,,
02248,嬰,0083,0,1,038,,,,,,
02035,妊,0084,0,1,038,,,,,,
02268,存,0085,0,1,039,,,,,,
02293,學,0086,0,1,039,,,,,,
02397,寛,0087,0,1,040,,,,,,
02392,寧,0088,0,1,040,,,,,,
02307,宇,0089,0,1,040,,,,,,
02322,宗,0090,0,1,040,,,,,,
02383,察,0091,0,1,040,,,,,,
02358,寄,0092,0,1,040,,,,,,
02395,審,0093,0,1,040,,,,,,
02436,導,0094,0,1,041,,,,,,
02446,尚,0095,0,1,042,,,,,,
02469,尸,0096,0,1,044,,,,,,
02471,尺,0097,0,1,044,,,,,,
02472,尻,0098,0,1,044,,,,,,
02499,屏,0099,0,1,044,,,,,,
02485,屈,0100,0,1,044,,,,,,
02598,峻,0101,0,1,046,,,,,,
02594,島,0102,0,1,046,,,,,,
02764,州,0103,0,1,047,,,,,,
02767,巡,0104,0,1,047,,,,,,
02806,希,0105,0,1,050,,,,,,
02818,帚,0106,0,1,050,,,,,,
02799,市,0107,0,1,050,,,,,,
02801,帆,0108,0,1,050,,,,,,
02902,并,0109,0,1,051,,,,,,
02915,幾,0110,0,1,052,,,,,,
02912,幽,0111,0,1,052,,,,,,
02992,廢,0112,0,1,053,,,,,,
03064,弱,0113,0,1,057,,,,,,
03060,弭,0114,0,1,057,,,,,,
03101,形,0115,0,1,059,,,,,,
03143,徒,0116,0,1,060,,,,,,
03292,恩,0117,0,1,061,,,,,,
03289,恥,0118,0,1,061,,,,,,
03203,忠,0119,0,1,061,,,,,,
03277,恙,0120,0,1,061,,,,,,
03235,怙,0121,0,1,061,,,,,,
03312,悉,0122,0,1,061,,,,,,
03196,忘,0123,0,1,061,,,,,,
03345,悽,0124,0,1,061,,,,,,
03267,恆,0125,0,1,061,,,,,,
03469,慰,0126,0,1,061,,,,,,
03299,恰,0127,0,1,061,,,,,,
03402,愍,0128,0,1,061,,,,,,
03355,惑,0129,0,1,061,,,,,,
03455,慟,0130,0,1,061,,,,,,
03475,慷,0131,0,1,061,,,,,,
03511,憚,0132,0,1,061,,,,,,
03463,慨,0133,0,1,061,,,,,,
03633,戰,0134,0,1,062,,,,,,
03632,戮,0135,0,1,062,,,,,,
03628,截,0136,0,1,062,,,,,,
03645,戻,0137,0,1,063,,,,,,
03686,扶,0138,0,1,064,,,,,,
03666,打,0139,0,1,064,,,,,,
03880,推,0140,0,1,064,,,,,,
03835,捨,0141,0,1,064,,,,,,
03761,拜,0142,0,1,064,,,,,,
03765,拭,0143,0,1,064,,,,,,
03907,換,0144,0,1,064,,,,,,
03837,捫,0145,0,1,064,,,,,,
03818,捉,0146,0,1,064,,,,,,
04311,斃,0147,0,1,066,,,,,,
04228,改,0148,0,1,066,,,,,,
04286,敬,0149,0,1,066,,,,,,
04303,整,0150,0,1,066,,,,,,
04363,斥,0151,0,1,069,,,,,,
04369,斬,0152,0,1,069,,,,,,
04391,施,0153,0,1,070,,,,,,
04518,昵,0154,0,1,072,,,,,,
04608,暴,0155,0,1,072,,,,,,
04499,星,0156,0,1,072,,,,,,
04542,晝,0157,0,1,072,,,,,,
04679,服,0158,0,1,074,,,,,,
05150,楫,0159,0,1,075,,,,,,
05529,權,0160,0,1,075,,,,,,
14917,14917,0161,0,1,075,,,,,,
04978,梔,0162,0,1,075,,,,,,
04781,板,0163,0,1,075,,,,,,
04825,04825,0164,0,1,075,,,,,,
04743,杖,0165,0,1,075,,,,,,
04871,柱,0166,0,1,075,,,,,,
04908,株,0167,0,1,075,,,,,,
04765,東,0168,0,1,075,,,,,,
04848,染,0169,0,1,075,,,,,,
04884,柴,0170,0,1,075,,,,,,
04865,柩,0171,0,1,075,,,,,,
05154,楯,0172,0,1,075,,,,,,
05361,橘,0173,0,1,075,,,,,,
04984,條,0174,0,1,075,,,,,,
05591,款,0175,0,1,076,,,,,,
05561,欣,0176,0,1,076,,,,,,
05641,止,0177,0,1,077,,,,,,
05645,歩,0178,0,1,077,,,,,,
05707,殆,0179,0,1,078,,,,,,
05717,殊,0180,0,1,078,,,,,,
05737,殘,0181,0,1,078,,,,,,
05932,氏,0182,0,1,083,,,,,,
06396,源,0183,0,1,085,,,,,,
06269,淤,0184,0,1,085,,,,,,
06151,流,0185,0,1,085,,,,,,
06045,河,0186,0,1,085,,,,,,
06134,洪,0187,0,1,085,,,,,,
06125,洞,0188,0,1,085,,,,,,
06088,泥,0189,0,1,085,,,,,,
06317,渠,0190,0,1,085,,,,,,
06138,洲,0191,0,1,085,,,,,,
06480,漂,0192,0,1,085,,,,,,
06050,沸,0193,0,1,085,,,,,,
06318,渡,0194,0,1,085,,,,,,
06316,渟,0195,0,1,085,,,,,,
06704,瀛,0196,0,1,085,,,,,,
06874,焦,0197,0,1,086,,,,,,
06978,燒,0198,0,1,086,,,,,,
06969,燃,0199,0,1,086,,,,,,
06835,烏,0200,0,1,086,,,,,,
06901,煙,0201,0,1,086,,,,,,
06997,燼,0202,0,1,086,,,,,,
07047,牆,0203,0,1,090,,,,,,
07065,牙,0204,0,1,092,,,,,,
07087,牽,0205,0,1,093,,,,,,
07106,犢,0206,0,1,093,,,,,,
07244,獵,0207,0,1,094,,,,,,
07256,玄,0208,0,1,095,,,,,,
00263,佩,0209,0,1,009,,,,,,
07294,珥,0210,0,1,096,,,,,,
07426,瓶,0211,0,1,098,,,,,,
07459,甜,0212,0,1,099,,,,,,
07481,申,0213,0,1,102,,,,,,
07530,異,0214,0,1,102,,,,,,
07507,畔,0215,0,1,102,,,,,,
07707,發,0216,0,1,105,,,,,,
07739,皮,0217,0,1,107,,,,,,
07817,看,0218,0,1,109,,,,,,
07867,睨,0219,0,1,109,,,,,,
07799,直,0220,0,1,109,,,,,,
07843,眼,0221,0,1,109,,,,,,
07806,盾,0222,0,1,109,,,,,,
07944,矩,0223,0,1,111,,,,,,
07986,破,0224,0,1,112,,,,,,
08016,碎,0225,0,1,112,,,,,,
08103,祀,0226,0,1,113,,,,,,
08123,祝,0227,0,1,113,,,,,,
08108,祈,0228,0,1,113,,,,,,
08119,祚,0229,0,1,113,,,,,,
08165,禮,0230,0,1,113,,,,,,
08279,穢,0231,0,1,115,,,,,,
08323,窟,0232,0,1,116,,,,,,
08365,竟,0233,0,1,117,,,,,,
11258,豎,0234,0,1,151,,,,,,
08479,箭,0235,0,1,118,,,,,,
08664,粟,0236,0,1,119,,,,,,
09030,繋,0237,0,1,120,,,,,,
08976,縫,0238,0,1,120,,,,,,
08993,總,0239,0,1,120,,,,,,
09064,纏,0240,0,1,120,,,,,,
08744,08744,0241,0,1,120,,,,,,
08762,08762,0242,0,1,120,,,,,,
08735,紀,0243,0,1,120,,,,,,
08779,細,0244,0,1,120,,,,,,
09133,罷,0245,0,1,122,,,,,,
09144,羅,0246,0,1,122,,,,,,
09142,羂,0247,0,1,122,,,,,,
09177,義,0248,0,1,123,,,,,,
09175,羣,0249,0,1,123,,,,,,
09249,耀,0250,0,1,124,,,,,,
09335,聽,0251,0,1,128,,,,,,
09541,膝,0252,0,1,130,,,,,,
09370,肩,0253,0,1,130,,,,,,
09364,股,0254,0,1,130,,,,,,
09377,肯,0255,0,1,130,,,,,,
09463,脱,0256,0,1,130,,,,,,
09449,脛,0257,0,1,130,,,,,,
09483,腋,0258,0,1,130,,,,,,
09568,臂,0259,0,1,130,,,,,,
09599,臥,0260,0,1,131,,,,,,
09621,臾,0261,0,1,134,,,,,,
09627,09627,0262,0,1,134,,,,,,
09626,舂,0263,0,1,134,,,,,,
09778,苗,0264,0,1,140,,,,,,
09911,菟,0265,0,1,140,,,,,,
10139,薄,0266,0,1,140,,,,,,
10153,薙,0267,0,1,140,,,,,,
10189,藍,0268,0,1,140,,,,,,
10510,螢,0269,0,1,142,,,,,,
10349,蛇,0270,0,1,142,,,,,,
10605,血,0271,0,1,143,,,,,,
10618,術,0272,0,1,144,,,,,,
10703,裏,0273,0,1,145,,,,,,
10708,裔,0274,0,1,145,,,,,,
10724,裳,0275,0,1,145,,,,,,
10773,襁,0276,0,1,145,,,,,,
10766,褸,0277,0,1,145,,,,,,
10798,襤,0278,0,1,145,,,,,,
10857,覽,0279,0,1,147,,,,,,
10859,觀,0280,0,1,147,,,,,,
10875,解,0281,0,1,148,,,,,,
10936,訶,0282,0,1,149,,,,,,
10974,詣,0283,0,1,149,,,,,,
11092,謀,0284,0,1,149,,,,,,
11171,識,0285,0,1,149,,,,,,
10987,該,0286,0,1,149,,,,,,
11109,謎,0287,0,1,149,,,,,,
11090,諾,0288,0,1,149,,,,,,
11264,11264,0289,0,1,151,,,,,,
11447,赦,0290,0,1,155,,,,,,
11453,赭,0291,0,1,155,,,,,,
11450,11450,0292,0,1,155,,,,,,
11467,超,0293,0,1,156,,,,,,
11457,赴,0294,0,1,156,,,,,,
11553,跳,0295,0,1,157,,,,,,
11580,踞,0296,0,1,157,,,,,,
11618,蹈,0297,0,1,157,,,,,,
11568,踏,0298,0,1,157,,,,,,
11593,踰,0299,0,1,157,,,,,,
11716,躬,0300,0,1,158,,,,,,
11799,輒,0301,0,1,159,,,,,,
11856,轉,0302,0,1,159,,,,,,
11893,辛,0303,0,1,160,,,,,,
11896,辜,0304,0,1,160,,,,,,
12093,遷,0305,0,1,162,,,,,,
11976,迹,0306,0,1,162,,,,,,
11986,逆,0307,0,1,162,,,,,,
11984,逃,0308,0,1,162,,,,,,
11979,追,0309,0,1,162,,,,,,
12046,過,0310,0,1,162,,,,,,
03008,廻,0311,0,1,054,,,,,,
12019,逮,0312,0,1,162,,,,,,
11982,退,0313,0,1,162,,,,,,
12025,逶,0314,0,1,162,,,,,,
12040,遇,0315,0,1,162,,,,,,
12062,遙,0316,0,1,162,,,,,,
12095,選,0317,0,1,162,,,,,,
12077,遨,0318,0,1,162,,,,,,
12082,遭,0319,0,1,162,,,,,,
12054,違,0320,0,1,162,,,,,,
12342,醤,0321,0,1,164,,,,,,
12360,釀,0322,0,1,164,,,,,,
12262,酌,0323,0,1,164,,,,,,
12327,醜,0324,0,1,164,,,,,,
12266,酒,0325,0,1,164,,,,,,
12372,里,0326,0,1,166,,,,,,
12485,鋒,0327,0,1,167,,,,,,
12544,鍜,0328,0,1,167,,,,,,
12380,金,0329,0,1,167,,,,,,
12601,鏑,0330,0,1,167,,,,,,
12563,鍾,0331,0,1,167,,,,,,
12722,閑,0332,0,1,169,,,,,,
12783,闕,0333,0,1,169,,,,,,
12714,閉,0334,0,1,169,,,,,,
12800,闥,0335,0,1,169,,,,,,
12862,陰,0336,0,1,170,,,,,,
12883,隅,0337,0,1,170,,,,,,
12847,陛,0338,0,1,170,,,,,,
12886,隆,0339,0,1,170,,,,,,
12955,雀,0340,0,1,172,,,,,,
12951,隼,0341,0,1,172,,,,,,
12971,雌,0342,0,1,172,,,,,,
13002,難,0343,0,1,172,,,,,,
13108,面,0344,0,1,176,,,,,,
13151,鞆,0345,0,1,177,,,,,,
13124,靭,0346,0,1,177,,,,,,
13281,音,0347,0,1,180,,,,,,
13398,類,0348,0,1,181,,,,,,
13327,領,0349,0,1,181,,,,,,
13313,預,0350,0,1,181,,,,,,
13355,頸,0351,0,1,181,,,,,,
13297,頃,0352,0,1,181,,,,,,
13503,食,0353,0,1,184,,,,,,
13526,飮,0354,0,1,184,,,,,,
13521,飫,0355,0,1,184,,,,,,
13630,饉,0356,0,1,184,,,,,,
13552,餌,0357,0,1,184,,,,,,
13559,餓,0358,0,1,184,,,,,,
13508,飢,0359,0,1,184,,,,,,
13565,餘,0360,0,1,184,,,,,,
13849,驗,0361,0,1,187,,,,,,
13820,騰,0363,0,1,187,,,,,,
14088,魔,0364,0,1,194,,,,,,
14207,鯔,0365,0,1,195,,,,,,
14576,鷲,0366,0,1,196,,,,,,
14659,14659,0367,0,1,198,,,,,,
14681,麻,0368,0,1,200,,,,,,
14730,黨,0369,0,1,203,,,,,,
14876,龍,0370,0,1,212,,,,,,
14887,龜,0371,0,1,213,,,,,,
00001,一,0372,1,64,001,,,,,,
00025,世,0374,1,9,001,,,,,,
00013,不,0375,1,73,001,,,,,,
00004,七,0377,1,3,001,,,,,,
00008,上,0378,1,28,001,,,,,,
00009,下,0379,1,16,001,,,,,,
00007,三,0380,1,19,001,,,,,,
00020,且,0381,1,12,001,,,,,,
00051,中,0382,1,36,002,,,,,,
00070,主,0383,1,21,003,,,,,,
00088,之,0384,1,355,004,,,,,,
00078,乃,0392,1,62,004,,,,,,
00085,久,0394,1,12,004,,,,,,
00092,乎,0395,1,20,004,,,,,,
00109,也,0396,1,67,005,,,,,,
00102,乘,0398,1,4,004,,,,,,
00108,乞,0399,1,3,005,,,,,,
00113,乳,0400,1,4,005,,,,,,
00128,事,0401,1,23,006,,,,,,
00129,二,0402,1,23,007,,,,,,
00135,五,0403,1,14,007,,,,,,
00133,云,0404,1,44,007,,,,,,
00136,井,0405,1,9,007,,,,,,
00132,于,0406,1,20,007,,,,,,
00150,亡,0407,1,3,008,,,,,,
00154,亦,0408,1,32,008,,,,,,
00175,今,0409,1,28,009,,,,,,
00256,作,0410,1,26,009,,,,,,
00213,伊,0411,1,7,009,,,,,,
00194,以,0412,1,138,009,,,,,,
00193,令,0415,1,8,009,,,,,,
00192,代,0416,1,10,009,,,,,,
00250,何,0417,1,27,009,,,,,,
00299,供,0418,1,4,009,,,,,,
00209,企,0419,1,5,009,,,,,,
00177,仍,0420,1,4,009,,,,,,
00321,便,0421,1,8,009,,,,,,
00288,侍,0422,1,6,009,,,,,,
00301,依,0423,1,11,009,,,,,,
00240,但,0424,1,3,009,,,,,,
00183,他,0425,1,2,009,,,,,,
00351,俳,0426,1,4,009,,,,,,
00217,伏,0427,1,7,009,,,,,,
00483,僉,0428,1,4,009,,,,,,
00378,倚,0429,1,2,009,,,,,,
00245,住,0430,1,8,009,,,,,,
00369,候,0431,1,2,009,,,,,,
00168,人,0432,1,37,009,,,,,,
00260,00260,0433,1,3,009,,,,,,
00349,俯,0434,1,2,009,,,,,,
00475,傾,0435,1,3,009,,,,,,
00373,倒,0436,1,3,009,,,,,,
00516,儀,0437,1,2,009,,,,,,
00246,佐,0438,1,2,009,,,,,,
03158,徨,0439,1,2,060,,,,,,
03121,彷,0440,1,2,060,,,,,,
00279,使,0441,1,21,009,,,,,,
00199,仰,0442,1,4,009,,,,,,
00542,優,0443,1,3,009,,,,,,
00449,傍,0444,1,2,009,,,,,,
00235,似,0445,1,2,009,,,,,,
00253,余,0446,1,7,009,,,,,,
00219,休,0447,1,2,009,,,,,,
00561,兄,0448,1,52,010,,,,,,
00574,兒,0450,1,64,010,,,,,,
00566,先,0452,1,19,010,,,,,,
00567,光,0453,1,4,010,,,,,,
00585,内,0454,1,12,011,,,,,,
00582,入,0455,1,25,011,,,,,,
00589,全,0456,1,2,011,,,,,,
00591,兩,0457,1,3,011,,,,,,
00605,其,0458,1,100,012,,,,,,
00594,八,0460,1,38,012,,,,,,
00606,具,0461,1,5,012,,,,,,
00599,共,0462,1,6,012,,,,,,
00613,兼,0463,1,4,012,,,,,,
00701,凡,0464,1,6,016,,,,,,
00723,出,0465,1,71,017,,,,,,
00729,刀,0467,1,4,018,,,,,,
00734,分,0468,1,3,018,,,,,,
00789,則,0469,1,71,018,,,,,,
00769,到,0471,1,21,018,,,,,,
00763,別,0472,1,8,018,,,,,,
00794,前,0473,1,13,018,,,,,,
00767,利,0474,1,12,018,,,,,,
00843,劍,0475,1,5,018,,,,,,
00818,副,0476,1,3,018,,,,,,
00776,制,0477,1,2,018,,,,,,
00759,初,0478,1,5,018,,,,,,
00893,勝,0479,1,18,019,,,,,,
00884,00884,0480,1,19,019,,,,,,
00858,加,0481,1,4,019,,,,,,
00898,勢,0482,1,3,019,,,,,,
00919,勿,0483,1,10,020,,,,,,
00938,化,0484,1,4,021,,,,,,
00985,十,0485,1,18,024,,,,,,
00987,千,0486,1,15,024,,,,,,
01019,卜,0487,1,2,025,,,,,,
01022,占,0488,1,2,025,,,,,,
01049,即,0489,1,36,026,,,,,,
01035,危,0490,1,2,026,,,,,,
01074,原,0491,1,18,027,,,,,,
01101,去,0492,1,19,028,,,,,,
01111,及,0493,1,28,029,,,,,,
01116,反,0494,1,2,029,,,,,,
01108,又,0495,1,18,029,,,,,,
01112,友,0496,1,4,029,,,,,,
01127,取,0497,1,14,029,,,,,,
01128,受,0498,1,6,029,,,,,,
01349,唯,0499,1,4,030,,,,,,
01141,口,0500,1,17,030,,,,,,
01412,喜,0501,1,3,030,,,,,,
01179,向,0502,1,11,030,,,,,,
01170,合,0503,1,9,030,,,,,,
01175,名,0504,1,23,030,,,,,,
01252,命,0505,1,76,030,,,,,,
01395,善,0507,1,4,030,,,,,,
01479,嘗,0508,1,3,030,,,,,,
01295,哀,0509,1,3,030,,,,,,
01174,同,0510,1,3,030,,,,,,
01369,問,0511,1,39,030,,,,,,
01188,吟,0512,1,4,030,,,,,,
01185,君,0513,1,11,030,,,,,,
01251,呼,0514,1,3,030,,,,,,
01168,各,0515,1,2,030,,,,,,
01242,味,0516,1,9,030,,,,,,
01323,哭,0517,1,4,030,,,,,,
01154,可,0518,1,28,030,,,,,,
01305,哉,0519,1,6,030,,,,,,
01219,告,0520,1,6,030,,,,,,
01263,和,0521,1,5,030,,,,,,
01217,吾,0522,1,89,030,,,,,,
01359,唾,0524,1,2,030,,,,,,
01487,嘲,0525,1,4,030,,,,,,
01187,呑,0526,1,2,030,,,,,,
01150,召,0527,1,10,030,,,,,,
01452,嗣,0528,1,5,030,,,,,,
01420,喧,0529,1,2,030,,,,,,
01279,咫,0530,1,3,030,,,,,,
01484,嘯,0531,1,3,030,,,,,,
01611,因,0532,1,41,031,,,,,,
01639,國,0533,1,62,031,,,,,,
01627,固,0535,1,2,031,,,,,,
01607,四,0536,1,2,031,,,,,,
01623,困,0537,1,3,031,,,,,,
01666,地,0538,1,15,032,,,,,,
01659,在,0539,1,29,032,,,,,,
01682,坐,0540,1,6,032,,,,,,
01672,坂,0541,1,2,032,,,,,,
01654,土,0542,1,5,032,,,,,,
01796,報,0543,1,15,032,,,,,,
01710,垂,0544,1,2,032,,,,,,
01726,垢,0545,1,2,032,,,,,,
01767,堅,0546,1,3,032,,,,,,
01818,塗,0547,1,2,032,,,,,,
01905,壯,0548,1,3,033,,,,,,
01939,夜,0549,1,15,036,,,,,,
01938,多,0550,1,11,036,,,,,,
01947,天,0551,1,210,037,,,,,,
01946,大,0556,1,52,037,,,,,,
01948,太,0558,1,9,037,,,,,,
01949,夫,0559,1,4,037,,,,,,
01957,失,0560,1,7,037,,,,,,
01974,奉,0561,1,29,037,,,,,,
01972,奇,0562,1,2,037,,,,,,
01973,奈,0563,1,5,037,,,,,,
02022,女,0564,1,53,038,,,,,,
02061,妻,0566,1,10,038,,,,,,
02062,妾,0567,1,20,038,,,,,,
02134,娶,0568,1,10,038,,,,,,
02032,妃,0569,1,6,038,,,,,,
02108,姫,0570,1,69,038,,,,,,
02031,如,0572,1,24,038,,,,,,
02069,始,0573,1,4,038,,,,,,
02059,妹,0574,1,5,038,,,,,,
02122,娠,0575,1,8,038,,,,,,
02078,委,0576,1,2,038,,,,,,
02068,姉,0577,1,2,038,,,,,,
02024,奴,0578,1,3,038,,,,,,
02151,婢,0579,1,2,038,,,,,,
02119,娜,0580,1,3,038,,,,,,
02155,婦,0581,1,2,038,,,,,,
02262,子,0582,1,54,039,,,,,,
02282,孫,0584,1,84,039,,,,,,
02265,孕,0586,1,2,039,,,,,,
02407,寶,0587,1,5,040,,,,,,
02390,實,0588,1,5,040,,,,,,
02313,完,0589,1,3,040,,,,,,
02309,安,0590,1,3,040,,,,,,
02346,害,0591,1,5,040,,,,,,
02342,宮,0592,1,16,040,,,,,,
02332,室,0593,1,8,040,,,,,,
02327,宜,0594,1,16,040,,,,,,
02331,客,0595,1,5,040,,,,,,
02352,容,0596,1,7,040,,,,,,
02325,定,0597,1,7,040,,,,,,
02429,尊,0598,1,115,041,,,,,,
02430,尋,0601,1,12,041,,,,,,
02425,將,0602,1,25,041,,,,,,
02435,對,0603,1,23,041,,,,,,
02422,射,0604,1,7,041,,,,,,
02439,小,0605,1,9,042,,,,,,
02440,少,0606,1,5,042,,,,,,
02464,就,0607,1,8,043,,,,,,
02488,屋,0608,1,20,044,,,,,,
02482,居,0609,1,14,044,,,,,,
02478,尾,0610,1,2,044,,,,,,
02504,屡,0611,1,5,044,,,,,,
02528,山,0612,1,27,046,,,,,,
02640,崩,0613,1,3,046,,,,,,
02589,峯,0614,1,6,046,,,,,,
02607,崇,0615,1,3,046,,,,,,
02540,岐,0616,1,3,046,,,,,,
