統合ID,文字,弥勒上生,字体数,用例数,部首
00070,主,0001,0,1,003
00085,久,0002,0,1,004
00133,云,0003,0,1,007
00152,交,0004,0,1,008
00216,伎,0005,0,1,009
00608,典,0006,0,1,012
00321,便,0007,0,1,009
00513,價,0008,0,1,009
00263,佩,0009,0,1,009
00503,僧,0010,0,1,009
00599,共,0011,0,1,012
00701,凡,0012,0,1,016
00803,剛,0013,0,1,018
00734,分,0014,0,1,018
00856,力,0015,0,1,019
00913,勸,0016,0,1,019
00863,助,0017,0,1,019
00919,勿,0018,0,1,020
00997,卌,0019,0,1,024
01088,厭,0020,0,1,027
01068,厚,0021,0,1,027
01108,又,0022,0,1,029
01179,向,0023,0,1,030
01349,唯,0024,0,1,030
01245,呵,0025,0,1,030
01154,可,0026,0,1,030
01212,吹,0027,0,1,030
01242,味,0028,0,1,030
01141,口,0029,0,1,030
01235,周,0030,0,1,030
01350,唱,0031,0,1,030
01645,圓,0032,0,1,031
01611,因,0033,0,1,031
01641,圍,0034,0,1,031
01627,固,0035,0,1,031
01654,土,0036,0,1,032
01765,堂,0037,0,1,032
M65088,堓,0038,0,1,032
01767,堅,0039,0,1,032
01818,塗,0040,0,1,032
01863,墮,0041,0,1,032
01905,壯,0042,0,1,033
01934,外,0043,0,1,036
01949,夫,0044,0,1,037
01957,失,0045,0,1,037
02143,婉,0046,0,1,038
02105,威,0047,0,1,038
02277,孤,0048,0,1,039
02282,孫,0049,0,1,039
02390,實,0050,0,1,040
01124,叔,0051,0,1,029
02349,家,0052,0,1,040
02430,尋,0053,0,1,041
02436,導,0054,0,1,041
08077,礙,0055,0,1,112
02485,屈,0056,0,1,044
02774,左,0057,0,1,048
02800,布,0058,0,1,050
02924,床,0059,0,1,053
03008,廻,0060a,2,1,054
03008b,廻,0060b,2,1,054
03044,引,0061,0,1,057
03046,弗,0062,0,1,057
03079,彈,0063,0,1,057
03137,律,0064,0,1,060
03153,御,0065,0,1,060
03173,徹,0066,0,1,060
13845,驕,0067,0,1,187
03439,慈,0068,0,1,061
03405,愛,0069,0,1,061
03429,愼,0070,0,1,061
03196,忘,0071,0,1,061
03362,惚,0072,0,1,061
03462,慧,0073,0,1,061
03244,性,0074,0,1,061
03219,忽,0075,0,1,061
03320,悔,0076,0,1,061
03544,懃,0077,0,1,061
03587,懺,0078,0,1,061
03783,指,0079,0,1,064
03851,掃,0080,0,1,064
03757,拘,0081,0,1,064
03845,捺,0082,0,1,064
03730,拂,0083,0,1,064
03855,授,0084,0,1,064
03835,捨,0085,0,1,064
04192,攝,0086,0,1,064
03947,搖,0087,0,1,064
03927,揵,0088,0,1,064
04319,變,0089,0,1,066
04321,文,0090,0,1,067
04442,旣,0091,0,1,071
04499,星,0092,0,1,072
04500,映,0093,0,1,072
04490,昔,0094,0,1,072
04673,月,0095,0,1,074
05161,極,0096,0,1,075
04713,本,0097,0,1,075
04739,村,0098,0,1,075
05039,棠,0099,0,1,075
05037,棟,0100,0,1,075
04967,梁,0101,0,1,075
05228,槃,0102,0,1,075
04772,杸,0103,0,1,075
05558,次,0104,0,1,076
05612,歎,0105,0,1,076
05717,殊,0106,0,1,078
05834,母,0107,0,1,080
06045,河,0108,0,1,085
06031,沙,0109,0,1,085
06189,涅,0110,0,1,085
06182,海,0111,0,1,085
06487,漏,0112,0,1,085
06476,滿,0113,0,1,085
05964,求,0114,0,1,085
06918,照,0115,0,1,086
06921,煩,0116,0,1,086
06824,炳,0117,0,1,086
07076,牢,0118,0,1,093
07230,獨,0119,0,1,094
07112,犯,0120,0,1,094
07346,瑞,0121,0,1,096
07437,甄,0122,0,1,098
07457,甚,0123,0,1,099
07456,甘,0124,0,1,099
07469,用,0125,0,1,101
07501,界,0126,0,1,102
07481,申,0127,0,1,102
07522,略,0128,0,1,102
07508,留,0129,0,1,102
07779,盡,0130,0,1,108
07758,盈,0131,0,1,108
07759,益,0132,0,1,108
07828,眠,0133,0,1,109
07870,睹,0134,0,1,109
M23523,睺,0135,0,1,109
08097,示,0136,0,1,113
08329,窮,0137,0,1,116
08316,窓,0138,0,1,116
08380,競,0139,0,1,117
09011,繒,0140,0,1,120
08817,絡,0141,0,1,120
08906,緊,0142,0,1,120
08885,網,0143,0,1,120
08822,給,0144,0,1,120
09085,缺,0145,0,1,121
09177,義,0146,0,1,123
09429,能,0147,0,1,130
09568,臂,0148,0,1,130
09348,肉,0149,0,1,130
09617,臺,0150,0,1,133
09621,臾,0151,0,1,134
09656,舞,0152,0,1,136
09886,莫,0154,0,1,140
10191,藏,0155,0,1,140
09860,荷,0156,0,1,140
10643,表,0157,0,1,145
10703,裏,0158,0,1,145
10822,要,0159,0,1,146
10887,觸,0160,0,1,148
10969,詠,0161,0,1,149
11095,謂,0162,0,1,149
11195,議,0163,0,1,149
11023,誦,0164,0,1,149
11116,謗,0165,0,1,149
11207,讀,0166,0,1,149
11189,譬,0167,0,1,149
10928,設,0168,0,1,149
11264,豔,0169a,2,1,151
11264b,豔,0169b,2,1,151
11332,負,0170,0,1,154
11397,賢,0171,0,1,154
11451,赫,0172,0,1,155
11467,超,0173,0,1,156
11471,越,0174,0,1,156
11548,路,0175,0,1,157
11565,踊,0176,0,1,157
11826,輩,0177,0,1,159
11947,迎,0178,0,1,162
12115,邊,0180,0,1,162
12000,通,0181,0,1,162
12003,速,0182,0,1,162
12042,遊,0183,0,1,162
12010,連,0184,0,1,162
12079,適,0185,0,1,162
12022,進,0186,0,1,162
12134,那,0187,0,1,163
12366,釆,0188,0,1,165
12371,釋,0189,0,1,165
12663,鑄,0190,0,1,167
12418,鈴,0191,0,1,167
12716,開,0192,0,1,169
12768,闇,0193,0,1,169
12774,闍,0194,0,1,169
12864,陳,0195,0,1,170
12997,雜,0196,0,1,172
12963,集,0197,0,1,172
13054,霞,0198,0,1,173
13012,雨,0199,0,1,173
13073,露,0200,0,1,173
13416,顯,0201,0,1,181
13423,風,0202,0,1,182
13641,饒,0203,0,1,184
13934,體,0204,0,1,188
13959,髮,0205,0,1,190
13969,髺,0206,0,1,190
14061,鬼,0207,0,1,194
14088,魔,0208,0,1,194
14829,齋,0209,0,1,210
00001,一,0210,1,95,001
00025,世,0212,1,22,001
00009,下,0213,1,6,001
00008,上,0214,1,32,001
00013,不,0215,1,23,001
00004,七,0216,1,11,001
00026,丘,0217,1,6,001
00007,三,0218,1,14,001
00051,中,0219,1,30,002
00088,之,0220,1,11,004
00078,乃,0221,1,2,004
00107,九,0222,1,3,005
00118,乾,0223,1,2,005
00128,事,0224,1,2,006
00135,五,0225,1,33,007
00129,二,0226,1,13,007
00240,但,0227,1,2,009
00301,依,0228,1,3,009
00385,値,0229,1,7,009
00175,今,0230,1,10,009
00193,令,0231,1,4,009
00520,億,0232,1,36,009
00183,他,0233,1,4,009
00168,人,0234,1,24,009
00255,佛,0235,1,50,009
00236,伽,0236,1,3,009
00194,以,0237,1,14,009
00288,侍,0238,1,3,009
00299,供,0239,1,5,009
00245,住,0240,1,6,009
00350,倶,0241,1,9,009
00261,佉,0242,1,2,009
00250,何,0243,1,5,009
00542,優,0244,1,16,009
00489,像,0245,1,3,009
00579,兜,0246,1,19,010
00567,光,0247,1,25,010
00582,入,0248,1,3,011
00591,兩,0249,1,5,011
00585,内,0250,1,3,011
00594,八,0251,1,11,012
00605,其,0252,1,24,012
00606,具,0253,1,7,012
00597,六,0254,1,8,012
00646,冠,0255,1,6,014
00723,出,0256,1,17,017
00767,利,0257,1,6,018
00735,切,0258,1,7,018
00794,前,0259,1,5,018
00759,初,0260,1,2,018
00857,功,0261,1,3,019
00885,勒,0262,1,31,019
00893,勝,0263,1,2,019
00887,動,0264,1,2,019
00865,劫,0265,1,8,019
00938,化,0266,1,17,021
00951,匝,0267,1,3,022
00987,千,0268,1,21,024
00985,十,0269,1,26,024
00988,廿,0270,1,2,024
00989,卅,0271,1,2,024
01038,却,0272,1,4,026
01049,卽,0273,1,15,026
01128,受,0274,1,7,029
01109,叉,0275,1,4,029
01111,及,0276,1,7,029
01175,名,0277,1,29,030
01395,善,0278,1,15,030
01168,各,0279,1,10,030
01158,右,0280,1,2,030
01170,合,0281,1,5,030
01523,器,0282,1,7,030
01174,同,0283,1,2,030
01305,哉,0284,1,3,030
01252,命,0285,1,8,030
01581,嚴,0286,1,8,030
01219,告,0287,1,11,030
01412,喜,0288,1,4,030
01607,四,0289,1,14,031
01644,園,0290,1,5,031
01796,報,0291,1,3,032
01682,坐,0292,1,7,032
01727,垣,0293,1,2,032
01666,地,0294,1,5,032
01659,在,0295,1,4,032
01823,塞,0296,1,2,032
01755,執,0297,1,4,032
01816,塔,0298,1,2,032
01903,士,0299,1,2,033
01938,多,0300,1,6,036
01939,夜,0301,1,5,036
01947,天,0302,1,64,037
01961,夷,0304,1,2,037
01946,大,0305,1,27,037
02031,如,0306,1,32,038
02142,婆,0307,1,11,038
02045,妙,0308,1,13,038
02022,女,0309,1,13,038
02029,好,0310,1,3,038
02264,孔,0311,1,3,039
02262,子,0312,1,21,039
02267,字,0313,1,2,039
02355,宿,0314,1,2,040
02325,定,0315,1,3,040
02407,寶,0316,1,51,040
02342,宮,0318,1,12,040
02429,尊,0319,1,16,041
02439,小,0320,1,2,042
02464,就,0321,1,2,043
02473,尼,0322,1,19,044
02515,屬,0323,1,9,044
02783,已,0324,1,7,049
02835,師,0325,1,3,050
02847,常,0326,1,3,050
02881,幡,0327,1,3,050
02843,帳,0328,1,4,050
02900,年,0329,1,2,051
02946,座,0330,1,8,053
02944,度,0331a,2,4,053
02944b,度,0331b,2,2,053
02993,廣,0332,1,3,053
03084,彌,0333,1,33,057
03047,弘,0334,1,4,057
03101,形,0335,1,3,059
03145,得,0336,1,24,060
03151,從,0337,1,9,060
03124,彼,0338,1,2,060
03138,後,0339,1,7,060
03159,復,0340,1,5,060
03128,往,0341,1,6,060
03165,微,0342,1,4,060
03172,德,0343,1,5,060
03550,應,0344,1,8,061
03239,思,0345,1,5,061
03586,懸,0346,1,2,061
02882,幢,0347,1,4,050
03365,惟,0348,1,2,061
03208,快,0349,1,2,061
03214,念,0350,1,9,061
03180,必,0351,1,2,061
03395,意,0352,1,3,061
03335,悲,0353,1,3,061
03312,悉,0354,1,2,061
03179,心,0355,1,12,061
03367,惡,0356,1,3,061
03267,恆,0357,1,3,061
03612,戒,0358,1,8,062
03610,成,0359,1,14,062
03647,所,0360,1,12,063
03761,拜,0361,1,2,064
04009,摩,0362,1,14,064
03896,提,0363,1,18,064
03780,持,0364,1,12,064
03659,手,0365,1,6,064
03858,掌,0366,1,3,064
04298,數,0367,1,3,066
04286,敬,0368,1,5,066
04280,散,0369,1,2,066
04243,故,0370,1,2,066
04233,放,0371,1,3,066
04303,整,0372,1,2,066
04381,斷,0373,1,5,069
04385,方,0374,1,5,070
04389,於,0375,1,24,070
04398,旃,0376,1,2,070
04406,旋,0377,1,2,070
04542,晝,0378,1,2,072
04485,明,0379,1,12,072
04453,旬,0380,1,4,072
04512,是,0381,1,38,072
04523,時,0382,1,34,072
04505,昧,0383,1,3,072
04446,日,0384,1,3,072
04664,最,0385,1,2,073
04660,曼,0386,1,3,073
04667,會,0387,1,2,073
04650,曰,0388,1,11,073
04674,有,0389,1,45,074
04679,服,0390,1,2,074
05293,樓,0391,1,3,075
05138,楞,0392,1,3,075
05323,樹,0393,1,9,075
04871,柱,0394,1,2,075
04711,未,0395,1,12,075
05010,梵,0396,1,5,075
04993,梨,0397,1,3,075
05154,楯,0398,1,2,075
04806,果,0399,1,3,075
05279,樂,0400,1,15,075
05391,檀,0401,1,7,075
05152,業,0402,1,5,075
05609,歌,0403,1,2,076
05580,欲,0404,1,4,076
05639,歡,0405,1,2,076
05644,此,0406,1,36,077
05666,歳,0407,1,2,077
05643,正,0408,1,6,077
05676,歸,0409a,2,5,077
05676b,歸,0409b,2,1,077
05686,死,0410,1,5,078
05809,殿,0411,1,2,079
05841,比,0412,1,8,081
05845,毗,0413,1,2,081
05850,毛,0414,1,3,082
06086,波,0415,1,21,085
06151,流,0416,1,4,085
06432,滅,0417,1,4,085
06023,沒,0418,1,2,085
06285,深,0419,1,3,085
06074,法,0420,1,15,085
06290,清,0421,1,2,085
06272,淨,0422,1,4,085
06317,渠,0423,1,3,085
05952,水,0424,1,6,085
06490,演,0425,1,5,085
05983,汝,0426,1,6,085
06175,浮,0427,1,10,085
06872,無,0428,1,35,086
06885,然,0429,1,13,086
07032,爲,0430,1,23,087
07043,爾,0431,1,12,089
07047,牆,0432,1,4,090
07203,猶,0433,1,2,094
07259,率,0434,1,19,095
07290,珞,0435,1,2,096
07261,玉,0436,1,2,096
07366,璃,0437,1,2,096
07348,瑠,0438,1,3,096
07397,瓔,0439,1,2,096
07291,珠,0440,1,8,096
07262,王,0441,1,5,096
07461,生,0442,1,44,100
07535,當,0443,1,13,102
07483,男,0444,1,2,102
07530,異,0445,1,3,102
07479,由,0446,1,4,102
07559,疑,0447,1,2,103
07709,白,0448,1,7,106
07717,皆,0449,1,13,106
07710,百,0450,1,46,106
07844,眾,0451,1,26,109
07839,眷,0452,1,9,109
07790,目,0453,1,2,109
07813,眉,0454,1,3,109
07801,相,0455,1,12,109
07941,知,0456,1,2,111
08124,神,0457,1,8,113
08162,禪,0458,1,2,113
08107,祇,0459,1,2,113
08148,福,0460,1,6,113
08165,禮,0461,1,12,113
08143,禁,0462,1,2,113
08248,稱,0463,1,3,115
08244,種,0464,1,2,115
08296,空,0465,1,6,116
08354,立,0466,1,4,117
08426,等,0467,1,11,118
08412,第,0468,1,6,118
08685,精,0469,1,2,119
08795,終,0470,1,8,120
09030,繋,0471,1,3,120
08924,緣,0472,1,2,120
08807,結,0473,1,5,120
08788,紺,0474,1,2,120
08773,紫,0475,1,2,120
08856,經,0476,1,7,120
09144,羅,0477,1,29,122
09125,罪,0478,1,4,122
09255,者,0479,1,27,125
09264,而,0480,1,5,126
09286,耨,0481,1,3,127
09328,聲,0482a,2,3,128
09328b,聲,0482b,2,2,128
09335,聽,0483,1,3,128
09315,聞,0484,1,12,128
09292,耶,0485,1,3,128
09462,脩,0486,1,9,130
09370,肩,0487,1,2,130
09463,脱,0488,1,2,130
09602,自,0489,1,13,132
09610,至,0490,1,5,133
09629,與,0491,1,11,134
09636,舌,0492,1,2,135
09638,舍,0493,1,7,135
09716,色,0494,1,27,139
09789,苦,0495,1,2,140
09921,華,0496,1,28,140
10040,蓋,0497,1,3,140
09966,葉,0498,1,2,140
09788,若,0499,1,18,140
09919,菩,0500,1,38,140
10163,薩,0501,1,31,140
10192,藐,0502,1,4,140
10050,蓮,0503,1,11,140
09869,莊,0504,1,5,140
10251,蘭,0505,1,2,140
09758,花,0506,1,2,140
10270,處,0507,1,13,141
10414,蜜,0508,1,6,142
10614,行,0509,1,8,144
10630,衞,0510,1,2,144
10714,補,0511,1,2,145
10637,衣,0512,1,3,145
10826,覆,0513,1,2,146
10831,見,0514,1,5,147
10859,觀,0515,1,15,147
10875,解,0516,1,2,148
10860,角,0517,1,2,148
11085,諸,0518,1,47,149
11072,諦,0519,1,4,149
10890,言,0520,1,6,149
11008,誓,0521,1,6,149
11025,説,0522,1,25,149
10914,記,0523,1,7,149
11017,語,0524,1,5,149
11229,讚,0525,1,2,149
10936,訶,0526,1,6,149
11018,誠,0527,1,2,149
11282,豪,0528,1,3,152
11461,起,0529,1,9,156
11519,跏,0530,1,3,157
11502,趺,0531,1,3,157
11495,足,0532,1,6,157
11542,跪,0533,1,3,157
11515,跋,0534,1,2,157
11715,身,0535,1,16,158
11856,轉,0536,1,6,159
11827,輪,0537,1,2,159
12040,遇,0538,1,6,162
12051,道,0539,1,6,162
03157,徧,0540,1,4,060
12052,達,0541,1,2,162
11960,迦,0542,1,4,162
12027,逸,0543,1,2,162
12004,造,0544,1,4,162
12092,遶,0545,1,4,162
12176,部,0546,1,4,163
12376,量,0547,1,15,166
12373,重,0548,1,2,166
12380,金,0549,1,10,167
12698,長,0550,1,6,168
12800,闥,0551,1,2,169
12709,門,0552,1,4,169
12724,間,0553,1,6,169
12739,閣,0554,1,2,169
12855,除,0555,1,3,170
12830,阿,0556,1,12,170
12831,陀,0557,1,28,170
12991,雖,0558,1,2,172
13002,難,0559,1,3,172
13001,離,0560,1,12,172
13020,雲,0561,1,5,173
13108,面,0562,1,4,176
13281,音,0563,1,13,180
13297,頃,0564,1,5,181
13296,頂,0565,1,2,181
13377,額,0566,1,2,181
13391,願,0567,1,12,181
13325,頗,0568,1,3,181
13346,頭,0569,1,5,181
13304,須,0570,1,3,181
13551,養,0571,1,4,184
13661,首,0572,1,2,185
13667,香,0573,1,5,186
14379,鳴,0574,1,2,196
14776,鼔,0575,1,2,207
14876,龍,0576,1,7,212
00154,亦,0577a,2,10,008
00154b,亦,0577b,2,1,008
00256,作,0578a,2,20,009
00256b,作,0578b,2,1,009
00282,來,0579a,2,11,009
00282b,來,0579b,2,3,009
00516,儀,0580a,2,1,009
00516b,儀,0580b,2,1,009
01639,國,0581a,2,3,031
01639b,國,0581b,2,2,031
03052,弟,0582,1,4,057
03297,恭,0583a,2,1,061
03297b,恭,0583b,2,1,061
03611,我,0584,1,12,062
07707,發,0585a,2,10,105
07707b,發,0585b,2,1,105
09632,擧,0586a,2,1,134
09632b,擧,0586b,2,1,134
09665,般,0587a,2,1,137
09665b,般,0587b,2,1,137
09954,萬,0588a,2,9,140
09954b,萬,0588b,2,2,140
11982,退,0589a,2,4,162
11982b,退,0589b,2,3,162
12757,閻,0590a,2,9,169
12757b,閻,0590b,2,1,169
12927,隨,0591a,2,3,170
12927b,隨,0591b,2,2,170
13940,高,0592a,2,1,189
13940b,高,0592b,2,1,189
