統合ID,文字,カード番号,字体数,用例数,部首,
00154,亦,0001,0,1,008,
00183,他,0002,0,1,009,
00345,信,0003,0,1,009,
00168,人,0004,0,1,009,
00199,仰,0005,0,1,009,
00350,倶,0006,0,1,009,
00216,伎,0007,0,1,009,
00301,依,0008,0,1,009,
00723,出,0009,0,1,017,
00763,別,0010,0,1,018,
00803,剛,0011,0,1,018,
00865,劫,0012,0,1,019,
00898,勢,0013,0,1,019,
00858,加,0014,0,1,019,
01049,即,0015,0,1,026,
01252,命,0016,0,1,030,
01639,國,0017,0,1,031,
01863,墮,0018,0,1,032,
01839,境,0019,0,1,032,
01853,増,0020,0,1,032,
01682,坐,0021,0,1,032,
01903,士,0022,0,1,033,
01949,夫,0023,0,1,037,
02293,學,0024,0,1,039,
02267,字,0025,0,1,039,
02333,宣,0026,0,1,040,
02397,寛,0027,0,1,040,
02355,宿,0028,0,1,040,
02482,居,0029,0,1,044,
02780,差,0030,0,1,048,
02806,希,0031,0,1,050,
02882,幢,0032,0,1,050,
02881,幡,0033,0,1,050,
02964,02964,0034,0,1,053,
02944,度,0035,0,1,053,
03124,彼,0036,0,1,060,
03297,恭,0037,0,1,061,
03391,愈,0038,0,1,061,
03365,惟,0039,0,1,061,
03356,惓,0040,0,1,061,
03636,戲,0041,0,1,062,
03690,承,0042,0,1,064,
04442,既,0043,0,1,071,
04650,曰,0044,0,1,073,
04679,服,0045,0,1,074,
05152,業,0046,0,1,075,
05639,歡,0047,0,1,076,
05641,止,0048,0,1,077,
05947,氣,0049,0,1,084,
06487,漏,0050,0,1,085,
05957,永,0051,0,1,085,
06949,熟,0052,0,1,086,
06971,燈,0053,0,1,086,
01088,厭,0054,0,1,027,
07241,獲,0055,0,1,094,
07287,珍,0056,0,1,096,
07290,珞,0057,0,1,096,
07397,瓔,0058,0,1,096,
07307,理,0059,0,1,096,
07479,由,0060,0,1,102,
07685,癡,0061,0,1,104,
07591,疾,0062,0,1,104,
07598,病,0063,0,1,104,
07907,瞻,0064,0,1,109,
07844,衆,0065,0,1,109,
07878,瞋,0066,0,1,109,
07941,知,0067,0,1,030,
08165,禮,0068,0,1,113,
08097,示,0069,0,1,113,
08354,立,0070,0,1,117,
09061,續,0071,0,1,120,
08993,總,0072,0,1,120,
09214,習,0073,0,1,124,
09335,聽,0074,0,1,128,
09348,肉,0075,0,1,130,
09407,胝,0076,0,1,130,
09599,臥,0077,0,1,131,
10232,蘊,0078,0,1,140,
09758,花,0079,0,1,140,
10040,蓋,0080,0,1,140,
10637,衣,0081,0,1,145,
10859,觀,0082,0,1,147,
11025,説,0083,0,1,149,
11155,證,0084,0,1,149,
10974,詣,0085,0,1,149,
11229,讚,0086,0,1,149,
11095,謂,0087,0,1,149,
11334,財,0088,0,1,154,
11342,貪,0089,0,1,154,
11467,超,0090,0,1,156,
11827,輪,0091,0,1,159,
11951,返,0092,0,1,162,
12134,那,0093,0,1,163,
12373,重,0094,0,1,166,
12380,金,0095,0,1,167,
12716,開,0096,0,1,169,
12855,除,0097,0,1,170,
13002,難,0098,1,2,172,
13108,面,0099,0,1,176,
13281,音,0100,0,1,180,
13398,類,0101,0,1,181,
13503,食,0102,0,1,184,
13526,飮,0103,0,1,184,
13661,首,0104,0,1,185,
13940,高,0105,0,1,189,
14828,齊,0106,0,1,210,
00008,上,0107,1,15,001,
00007,三,0108,1,20,001,
00001,一,0109,1,95,001,
00004,七,0111,1,3,001,
00013,不,0112,1,429,001,
00025,世,0121,1,4,001,
00051,中,0122,1,31,002,
00078,乃,0123,1,28,004,
00102,乘,0124,1,30,004,
00088,之,0125,1,18,004,
00107,九,0126,1,2,005,
00128,事,0127,1,6,006,
00129,二,0128,1,3,007,
00133,云,0129,1,2,007,
00135,五,0130,1,7,007,
00236,伽,0131,1,4,009,
00193,令,0132,1,6,009,
00256,作,0133,1,6,009,
00255,佛,0134,1,41,009,
00321,便,0135,1,71,009,
00250,何,0137,1,88,009,
00245,住,0139,1,328,009,
00299,供,0146,1,3,009,
00194,以,0147,1,168,009,
00567,光,0151,1,2,010,
00585,内,0152,1,5,013,
00582,入,0153,1,4,011,
00597,六,0154,1,3,012,
00594,八,0155,1,13,012,
00599,共,0156,1,4,012,
00606,具,0157,1,5,012,
00605,其,0158,1,3,012,
00767,利,0159,1,3,018,
00759,初,0160,1,3,018,
00735,切,0161,1,54,018,
00794,前,0163,1,2,018,
00887,動,0164,1,2,019,
00856,力,0165,1,5,019,
00893,勝,0166,1,12,019,
00985,十,0167,1,13,024,
00987,千,0168,1,3,024,
01128,受,0169,1,16,029,
01127,取,0170,1,2,029,
01111,及,0171,1,74,029,
01154,可,0173,1,17,030,
01395,善,0174,1,18,030,
01242,味,0175,1,4,030,
01581,嚴,0176,1,7,030,
01175,名,0177,1,61,030,
01179,向,0179,1,43,030,
01412,喜,0180,1,22,030,
01645,圓,0181,1,17,031,
01607,四,0182,1,17,031,
01659,在,0183,1,4,032,
01726,垢,0184,1,19,032,
01654,土,0185,1,34,032,
01666,地,0186,1,144,032,
01913,壽,0189,1,4,033,
01938,多,0190,1,79,036,
01934,外,0192,1,4,036,
01947,天,0193,1,5,037,
01946,大,0194,1,15,037,
01957,失,0195,1,11,037,
02045,妙,0196,1,3,038,
02029,好,0197a,2,2,038,
02029b,好,0197b,2,1,038,
02077,姓,0198,1,19,038,
02033,妄,0199,1,2,038,
02031,如,0200,1,66,038,
02262,子,0202,1,3,039,
02407,寶,0203,1,2,040,
02349,家,0204,1,2,040,
02325,定,0205,1,7,040,
02309,安,0206,1,7,040,
02357,寂,0207,1,40,040,
02390,實,0208,1,2,040,
02429,尊,0209,1,3,041,
02464,就,0210,1,2,043,
02473,尼,0211,1,11,044,
02469,尸,0212,1,70,044,
02783,已,0214,1,9,049,
02847,常,0215,1,40,050,
02800,布,0216,1,2,050,
02899,平,0217,1,2,051,
02946,座,0218,1,2,053,
02993,廣,0219,1,4,053,
03159,復,0220,1,18,060,
03128,往,0221,1,2,060,
03145,得,0222,1,126,060,
13845,驕,0225,1,70,187,
03550,應,0227,1,280,061,
03395,意,0233,1,13,061,
03387,愁,0234,1,2,061,
03486,憂,0235,1,2,061,
03405,愛,0236,1,2,061,
03244,性,0237,1,34,061,
03466,慮,0238,1,4,061,
03335,悲,0239,1,2,061,
03439,慈,0240,1,2,061,
03184,忍,0241,1,2,061,
03180,必,0242,1,3,061,
03372,惱,0243,1,4,061,
03214,念,0244,1,6,061,
03179,心,0245,1,21,061,
03348,情,0246,1,8,061,
03196,忘,0247,1,11,061,
03462,慧,0248,1,5,061,
03267,恆,0249,1,11,061,
03239,思,0250,1,3,061,
03373,想,0251,1,2,061,
03611,我,0252,1,111,062,
03612,戒,0255,1,2,062,
03617,或,0256,1,2,062,
03610,成,0257,1,17,062,
03647,所,0258,1,96,063,
03835,捨,0260,1,13,064,
03780,持,0261,1,4,064,
01783,提,0262,1,10,064,
04009,摩,0263,1,82,064,
04216,支,0265,1,4,065,
04243,故,0266,1,164,066,
04286,敬,0270,1,2,066,
04298,數,0271,1,6,066,
04280,散,0272,1,2,066,
04381,斷,0273,1,3,069,
04385,方,0274,1,73,070,
04389,於,0276,1,8,070,
04391,施,0277,1,2,070,
04523,時,0278,1,70,072,
04512,是,0280,1,34,072,
04569,智,0281,1,38,072,
04485,明,0282,1,4,072,
04664,最,0283,1,2,073,
04674,有,0284,1,124,074,
04806,果,0287,1,46,075,
05279,樂,0288,1,23,075,
05161,極,0289,1,22,075,
04922,根,0290,1,2,075,
05228,槃,0291,1,6,075,
05323,樹,0292,1,3,075,
04713,本,0293,1,2,075,
05558,次,0294,1,19,076,
05580,欲,0295,1,2,076,
05612,歎,0296,1,3,076,
05643,正,0297,1,10,077,
05644,此,0298,1,22,077,
05724,05724,0299,1,2,078,
05717,殊,0300,1,3,078,
05686,死,0301,1,2,078,
06074,法,0302,1,121,085,
06086,波,0305,1,75,085,
06499,漢,0307,1,33,085,
06031,沙,0308,1,2,085,
06189,涅,0309,1,6,085,
06290,清,0310,1,2,085,
06476,滿,0311,1,17,085,
06151,流,0312,1,33,085,
05952,水,0313,1,2,085,
06432,滅,0314,1,2,085,
06872,無,0315,1,216,086,
06882,焔,0320,1,2,086,
06776,火,0321,1,2,086,
06921,煩,0322,1,2,086,
07032,爲,0323,1,94,086,
07086,特,0325,1,2,093,
07230,獨,0326,1,47,094,
07304,現,0327,1,19,096,
07461,生,0328,1,36,100,
07535,當,0329,1,70,102,
07478,田,0331,1,4,102,
07503,畏,0332,1,2,102,
07520,畢,0333,1,3,102,
07530,異,0334,1,23,102,
07501,界,0335,1,55,102,
07707,發,0337a,2,3,105,
07707b,發,0337b,2,1,105,
07717,皆,0338,1,2,106,
07710,百,0339,1,2,106,
07779,盡,0340,1,4,108,
07827,眞,0341,1,3,109,
07843,眼,0342,1,19,109,
07801,相,0343,1,81,109,
08148,福,0345,1,5,113,
08124,神,0346,1,7,113,
08244,種,0347,1,21,115,
08296,空,0348,1,89,116,
08077,礙,0350,1,2,112,
08293,究,0351,1,3,116,
08365,竟,0352,1,6,117,
08426,等,0353,1,28,118,
08412,第,0354,1,7,118,
08685,精,0355,1,2,119,
08924,縁,0356,1,12,120,
09144,羅,0357,1,124,122,
09177,義,0360,1,2,123,
09255,者,0361,1,9,125,
09250,老,0362,1,2,125,
09264,而,0363,1,4,126,
09286,耨,0364,1,3,127,
09290,耳,0365,1,12,128,
09308,聖,0366,1,7,128,
09315,聞,0367,1,15,128,
09462,脩,0368,1,2,130,
09463,脱,0369,1,7,130,
09602,自,0370,1,8,132,
09610,至,0371,1,28,133,
09636,舌,0372,1,11,135,
09638,舍,0373,1,3,135,
09716,色,0374,1,12,139,
09788,若,0375,1,434,140,
09919,菩,0384,1,108,140,
10163,薩,0387,1,169,140,
09789,苦,0391,1,26,140,
10192,藐,0392,1,3,140,
10139,薄,0393,1,2,140,
09869,莊,0394,1,5,140,
10272,虚,0395,1,4,141,
10270,處,0396,1,16,141,
10414,蜜,0397,1,75,142,
10614,行,0399,1,77,144,
10714,補,0401,1,2,145,
10831,見,0402,1,3,147,
10856,覺,0403,1,53,147,
10875,解,0405,1,8,148,
10887,觸,0406,1,30,148,
11085,諸,0407,1,24,149,
11195,議,0408,1,2,149,
04319,變,0409,1,4,149,
10890,言,0410,1,2,149,
11072,諦,0411,1,5,149,
11495,足,0412,1,4,157,
11715,身,0413,1,14,158,
11856,轉,0414,1,3,159,
11908,辨,0415,1,13,160,
11916,辯,0416,1,3,160,
11960,迦,0417,1,70,162,
12108,還,0419,1,17,162,
12070,遠,0420,1,42,162,
12051,道,0421,1,16,162,
11982,退,0422,1,2,162,
12115,邊,0423,1,6,162,
12042,遊,0424,1,2,162,
12000,通,0425,1,5,162,
03157,03157,0426,1,2,060,
12022,進,0427,1,2,162,
12188,都,0428,1,2,163,
12376,量,0429,1,14,166,
12709,門,0430,1,26,169,
12724,間,0431,1,3,169,
12913,際,0432,1,5,170,
12927,隨,0433,1,5,162,
12831,陀,0434,1,11,170,
12830,阿,0435,1,35,170,
12963,集,0436,1,2,172,
13001,離,0437,1,65,172,
13020,雲,0439,1,19,173,
13313,預,0440,1,33,181,
13391,願,0441,1,71,181,
13423,風,0443,1,2,182,
13551,養,0444,1,3,184,
13565,餘,0445,1,2,184,
13667,香,0446,1,7,186,
14809,鼻,0447,1,11,209,
00282,來,0448a,2,88,075,
00282b,來,0448b,2,2,075,
06272,淨,0450a,2,58,085,
06272b,淨,0450b,2,18,085,
09328,聲,0452a,2,66,128,
09328b,聲,0452b,2,9,128,
09665,般,0454,1,76,137,
13103,靜,0456a,2,41,174,
13103b,靜,0456b,2,3,174,
11171,識,0457,1,18,149,
10936,訶,0458,1,71,149,