,,kyo_教行信証,kyo_教行信証,kyo_教行信証,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
00092,乎,0001,0,1,004
00107,九,0002,0,1,005
00125,了,0003,0,1,006
00219,休,0004,0,1,009
00243,位,0005,0,1,009
00350,倶,0006,0,1,009
00391,倫,0007,0,1,009
00417,停,0008,0,1,009
00405,假,0009,0,1,009
00449,傍,0010,0,1,009
00489,像,0011,0,1,009
00498,僞,0012,0,1,009
00542,優,0013,0,1,009
00561,兄,0014,0,1,010
00596,公,0015,0,1,012
00597,六,0016,0,1,012
00651,冥,0017,0,1,014
00754,列,0018,0,1,018
00776,制,0019,0,1,018
00792,剋,0020,0,1,018
00858,加,0021,0,1,019
00859,劣,0022,0,1,019
00910,勳,0023,0,1,019
00913,勸,0024,0,1,019
01003,卑,0025,0,1,024
01039,卵,0026,0,1,026
01074,原,0027,0,1,027
01168,各,0028,0,1,030
01170,合,0029,0,1,030
01263,和,0030,0,1,030
01410,喚,0031,0,1,030
01645,圓,0032,0,1,031
01762,埿,0033,0,1,032
01818,塗,0034,0,1,032
01839,境,0035,0,1,032
01863,墮,0036,0,1,032
02118,娛,0037,0,1,038
02267,字,0038,0,1,039
02308,守,0039,0,1,040
M07242,㝢,0040,0,1,040
02413,寸,0041,0,1,041
02415,寺,0042,0,1,041
02425,將,0043,0,1,041
02435,對,0044,0,1,041
02482,居,0045,0,1,044
02496,展,0046,0,1,044
02806,希,0047,0,1,050
02897,干,0048,0,1,051
02992,廢,0049,0,1,053
03006,建,0050,0,1,054
03046,弗,0051,0,1,057
03052,弟,0052,0,1,057
03116,影,0053,0,1,059
03132,待,0054,0,1,060
03184,忍,0055,0,1,061
03208,快,0056,0,1,061
03267,恆,0057,0,1,061
03272,恐,0058,0,1,061
03298,息,0059,0,1,061
03326,悟,0060,0,1,061
03348,情,0061,0,1,061
03365,惟,0062,0,1,061
03381,惻,0063,0,1,061
03387,愁,0064,0,1,061
03405,愛,0065,0,1,061
03438,慇,0066,0,1,061
03638,戴,0067,0,1,062
03715,披,0068,0,1,064
03785,按,0069,0,1,064
03878,接,0070,0,1,064
03880,推,0071,0,1,064
03947,搖,0072,0,1,064
03941,搏,0073,0,1,064
04233,放,0074,0,1,066
04280,散,0075,0,1,066
04319,變,0076,0,1,066
04373,斯,0077,0,1,069
04381,斷,0078,0,1,069
04450,旨,0079,0,1,072
04621,曇,0080,0,1,072
04623,曉,0081,0,1,072
04640,曠,0082,0,1,072
04651,曲,0083,0,1,073
04664,最,0084,0,1,073
04696,朝,0085,0,1,074
04699,期,0086,0,1,074
04922,根,0087,0,1,075
05010,梵,0088,0,1,075
05368,機,0089,0,1,075
05612,歎,0090,0,1,076
05796,殺,0091,0,1,079
05834,母,0092,0,1,080
05850,毛,0093,0,1,082
05947,氣,0094,0,1,084
06003,決,0095,0,1,085
06058,況,0096,0,1,085
06023,沒,0097,0,1,085
06144,洹,0098,0,1,085
06151,流,0099,0,1,085
06175,浮,0100,0,1,085
06403,溜,0101,0,1,085
06318,渡,0102,0,1,085
06499,漢,0103,0,1,085
06532,潔,0104,0,1,085
06586,澠,0105,0,1,085
06617,濁,0106,0,1,085
06748,灌,0107,0,1,085
06941,熏,0108,0,1,086
06974,燋,0109,0,1,086
07035,父,0110,0,1,088
07122,狀,0111,0,1,094
07080,物,0112,0,1,093
07086,特,0113,0,1,093
07087,牽,0114,0,1,093
07241,獲,0115,0,1,094
07256,玄,0116,0,1,095
07307,理,0117,0,1,096
07481,申,0118,0,1,102
07557,疏,0119,0,1,103
07559,疑,0120,0,1,103
07706,登,0121,0,1,105
07790,目,0122,0,1,109
07938,矣,0123,0,1,111
06031,沙,0124,0,1,085
08239,稠,0125,0,1,115
08269,積,0126,0,1,115
08279,穢,0127,0,1,115
08296,空,0128,0,1,116
08361,竝,0129,0,1,117
M25886,笒,0130,0,1,118
08685,精,0131,0,1,119
08759,級,0132,0,1,120
08778,累,0133,0,1,120
08787,紹,0134,0,1,120
08795,終,0135,0,1,120
08809,絶,0136,0,1,120
09030,繋,0137,0,1,120
09286,耨,0138,0,1,127
09335,聽,0139,0,1,128
09347,肇,0140,0,1,129
09395,胎,0141,0,1,130
10192,藐,0142,0,1,140
10191,藏,0143,0,1,140
10207,藪,0144,0,1,140
10251,蘭,0145,0,1,140
10414,蜜,0146,0,1,142
10637,衣,0147,0,1,145
10683,被,0148,0,1,145
10896,計,0149,0,1,149
10936,訶,0150,0,1,149
10984,詳,0151,0,1,149
11012,誘,0152,0,1,149
11018,誠,0153,0,1,149
11008,誓,0154,0,1,149
11056,諒,0155,0,1,149
11092,謀,0156,0,1,149
11142,謹,0157,0,1,149
11311,貌,0158,0,1,153
11373,資,0159,0,1,154
11377,賊,0160,0,1,154
11471,越,0161,0,1,156
11548,路,0162,0,1,157
04603,暫,0163,0,1,072
11802,輕,0165,0,1,159
11947,迎,0166,0,1,162
11982,退,0167,0,1,162
11990,逍,0168,0,1,162
12062,遙,0169,0,1,162
12205,鄕,0170,0,1,163
12373,重,0171,0,1,166
12582,鎧,0172,0,1,167
12757,閻,0173,0,1,169
M41490,𨶳,0174,0,1,169
12870,陸,0175,0,1,170
12886,隆,0176,0,1,170
13012,雨,0177,0,1,173
13281,音,0178,0,1,180
13290,韻,0179,0,1,180
13346,頭,0180,0,1,181
13423,風,0181,0,1,182
13667,香,0182,0,1,186
14088,魔,0183,0,1,194
14611,鸞,0184,0,1,196
14621,鹿,0185,0,1,198
14709,黑,0186,0,1,203
14775,鼓,0187,0,1,207
14876,龍,0188,0,1,212
00001,一,0189,1,91,001
00004,七,0191,1,6,001
00007,三,0192,1,50,001
00008,上,0193,1,30,001
00009,下,0194,1,3,001
00013,不,0195,1,99,001
00025,世,0197,1,20,001
00026,丘,0198,1,2,001
00051,中,0199,1,21,002
00070,主,0200,1,7,003
00078,乃,0201,1,5,004
00088,之,0202,1,57,004
00102,乘,0204,1,8,004
00109,也,0205,1,61,005
00129,二,0207,1,28,007
00133,云,0208,1,12,007
00135,五,0209,1,19,007
00154,亦,0210,1,19,008
00168,人,0211,1,17,009
00175,今,0212,1,2,009
00183,他,0213,1,16,009
00193,令,0214,1,4,009
00194,以,0215,1,51,009
00199,仰,0217,1,2,009
00235,似,0218,1,2,009
00240,但,0219,1,6,009
00245,住,0220,1,16,009
00250,何,0221,1,32,009
00255,佛,0222,1,86,009
00256,作,0224,1,20,009
00279,使,0225,1,5,009
00282,來,0226,1,25,009
00299,供,0227,1,10,009
00301,依,0228,1,18,009
00321,便,0229,1,32,009
00345,信,0230,1,3,009
00373,倒,0231,1,3,009
00455,備,0232,1,3,009
00503,僧,0233,1,2,009
00520,億,0234,1,2,009
00406,偈,0235,1,8,009
00566,先,0236,1,2,010
00567,光,0237,1,5,010
00582,入,0238,1,40,011
00585,内,0239,1,2,011
00594,八,0240,1,7,012
00599,共,0241,1,5,012
00605,其,0242,1,7,012
00606,具,0243,1,3,012
00701,凡,0244,1,7,016
00723,出,0245,1,19,017
00734,分,0246,1,6,018
00735,切,0247,1,35,018
00763,別,0248,1,4,018
00767,利,0249,1,14,018
00769,到,0250,1,3,018
00789,則,0251,1,20,018
00794,前,0252,1,6,018
00856,力,0253,1,17,019
00857,功,0254,1,40,019
00865,劫,0255,1,3,019
00887,動,0256,1,8,019
00893,勝,0257,1,6,019
00938,化,0258,1,27,021
00985,十,0259,1,18,024
00987,千,0260,1,2,024
01049,卽,0261,1,32,026
01101,去,0262,1,2,028
01108,又,0263,1,11,029
01111,及,0264,1,5,029
01127,取,0265,1,14,029
01128,受,0266,1,7,029
01141,口,0267,1,3,030
01143,句,0268,1,19,030
01154,可,0269,1,20,030
01369,問,0270,1,3,030
01174,同,0271,1,8,030
01175,名,0272,1,49,030
01179,向,0273,1,27,030
01242,味,0274,1,8,030
01252,命,0275,1,2,030
01288,咸,0276,1,2,030
01296,品,0277,1,2,030
01349,唯,0278,1,2,030
01395,善,0279,1,9,030
01421,喩,0280,1,2,030
01523,器,0281,1,10,030
01581,嚴,0282,1,33,030
01466,嘆,0283,1,5,030
01607,四,0284,1,17,031
01609,回,0285,1,20,031
01611,因,0286,1,8,031
01639,國,0287,1,35,031
01644,園,0288,1,4,031
01654,土,0289,1,41,032
01659,在,0290,1,12,032
01666,地,0291,1,30,032
01726,垢,0292,1,4,032
01740,城,0293,1,2,032
01767,堅,0294,1,2,032
01789,堪,0295,1,2,032
01796,報,0296,1,4,032
01853,增,0297,1,4,032
01913,壽,0298,1,3,033
01934,外,0299,1,4,036
01938,多,0300,1,2,036
01946,大,0301,1,38,037
01947,天,0302,1,11,037
01949,夫,0303,1,10,037
01957,失,0304,1,3,037
01974,奉,0305,1,3,037
02006,奢,0306,1,3,037
02029,好,0307,1,5,038
02031,如,0308,1,68,038
02045,妙,0310,1,11,038
02033,妄,0311,1,2,038
02142,婆,0312,1,5,038
02262,子,0313,1,4,039
02306,宅,0314,1,3,040
02309,安,0315,1,25,040
02322,宗,0316,1,2,040
02325,定,0317,1,11,040
02327,宜,0318,1,4,040
02333,宣,0319,1,2,040
02349,家,0320,1,2,040
02352,容,0321,1,4,040
02357,寂,0322,1,14,040
02390,實,0323,1,28,040
02407,寶,0324,1,5,040
02383,察,0325,1,7,040
08077,礙,0326,1,3,112
02426,專,0327,1,2,041
02436,導,0328,1,2,041
02464,就,0329,1,36,043
02488,屋,0330,1,2,044
02515,屬,0331,1,4,044
02775,巧,0332,1,7,048
02782,己,0333,1,5,049
02783,已,0334,1,12,049
02800,布,0335,1,2,050
02835,師,0336,1,4,050
02847,常,0337,1,17,050
02899,平,0338,1,13,051
02944,度,0339,1,18,053
02946,座,0340,1,4,053
02993,廣,0341,1,11,053
03047,弘,0342,1,4,057
03084,彌,0343,1,20,057
03101,形,0344,1,2,059
03124,彼,0345,1,44,060
03128,往,0346,1,10,060
03138,後,0347,1,8,060
03145,得,0348,1,40,060
03151,從,0349,1,4,060
03157,徧,0350,1,9,060
03159,復,0351,1,8,060
03165,微,0352,1,4,060
03172,德,0353,1,40,060
03179,心,0354,1,68,061
03180,必,0356,1,11,061
03214,念,0357,1,8,061
03239,思,0358,1,12,061
03244,性,0359,1,10,061
03297,恭,0360,1,4,061
03312,悉,0361,1,3,061
03335,悲,0362,1,13,061
03367,惡,0363,1,2,061
03372,惱,0364,1,11,061
03373,想,0365,1,3,061
03395,意,0366,1,12,061
03402,愍,0367,1,2,061
03439,慈,0368,1,9,061
03462,慧,0369,1,26,061
03544,懃,0370,1,2,061
03499,憐,0371,1,2,061
03550,應,0372,1,36,061
03610,成,0373,1,46,062
03611,我,0374,1,12,062
03617,或,0375,1,4,062
03636,戲,0376,1,7,062
03647,所,0377,1,30,063
03750,拔,0378,1,9,064
03761,拜,0379,1,3,064
03780,持,0380,1,14,064
03835,捨,0381,1,3,064
03896,提,0382,1,27,064
04009,摩,0383,1,4,064
04144,擿,0384,1,3,064
04192,攝,0385,1,14,064
04243,故,0386,1,112,066
04235,政,0389,1,2,066
04261,教,0390,1,13,066
04286,敬,0391a,2,2,066
04286b,敬,0391b,2,2,066
04298,數,0392,1,6,066
04277,敢,0393,1,2,066
04321,文,0394,1,3,067
04385,方,0395,1,42,070
04389,於,0396,1,15,070
04391,施,0397,1,2,070
04442,旣,0398,1,8,071
04446,日,0399,1,8,072
04485,明,0400,1,8,072
04505,昧,0401,1,7,072
04512,是,0402,1,110,072
04523,時,0405,1,13,072
04557,普,0406,1,4,072
04569,智,0407,1,33,072
04650,曰,0408,1,19,073
04667,會,0409,1,10,073
04674,有,0410,1,33,074
04707,木,0411,1,3,075
04711,未,0412,1,9,075
04713,本,0413,1,11,075
04725,朽,0414,1,3,075
04803,林,0415,1,5,075
04806,果,0416,1,5,075
04780,松,0417,1,2,075
04848,染,0418,1,5,075
04849,柔,0419,1,2,075
04933,案,0420,1,3,075
05152,業,0421,1,20,075
05161,極,0422,1,3,075
05323,樹,0423,1,4,075
05529,權,0424,1,3,075
05228,槃,0425,1,10,075
05279,樂,0426,1,55,075
05558,次,0428,1,16,076
05580,欲,0429,1,6,076
05641,止,0430,1,2,077
05644,此,0431,1,50,077
05666,歳,0432,1,2,077
05676,歸,0433a,2,4,077
05676b,歸,0433b,2,2,077
05686,死,0434,1,6,078
05717,殊,0435,1,4,078
05841,比,0436,1,3,081
05845,毗,0437,1,4,081
05952,水,0438,1,3,085
05964,求,0439,1,7,085
06074,法,0440,1,86,085
06088,泥,0442,1,4,085
06125,洞,0443,1,2,085
06182,海,0444,1,4,085
06189,涅,0445,1,9,085
06269,淤,0446,1,3,085
06285,深,0447,1,3,085
06290,清,0448,1,48,085
06432,滅,0449,1,20,085
06476,滿,0450,1,4,085
06633,濕,0451,1,3,085
06517,漸,0452,1,3,085
06643,濡,0453,1,2,085
06776,火,0454,1,6,086
06861,焉,0455,1,3,086
06885,然,0456,1,10,086
06978,燒,0457,1,2,086
06918,照,0458,1,2,086
06921,煩,0459,1,9,086
07032,爲,0460,1,50,087
07043,爾,0461,1,3,089
07262,王,0462,1,6,096
07304,現,0463,1,12,096
07461,生,0464,1,129,100
07469,用,0467,1,7,101
07479,由,0468,1,3,102
07501,界,0469,1,21,102
07520,畢,0470,1,20,102
07522,略,0471,1,13,102
07530,異,0472,1,7,102
07535,當,0473,1,11,102
07707,發,0474,1,4,105
07710,百,0475,1,6,106
07717,皆,0476,1,14,106
07759,益,0477,1,4,108
07779,盡,0478,1,5,108
07799,直,0479,1,2,109
07801,相,0480,1,46,109
07807,省,0481,1,2,109
07827,眞,0482,1,21,109
07839,眷,0483,1,3,109
07844,眾,0484,1,71,109
07941,知,0486,1,56,111
08097,示,0488,1,14,113
08124,神,0489,1,8,113
08162,禪,0490,1,3,113
08244,種,0491,1,64,115
08248,稱,0493,1,5,115
08283,穩,0494,1,2,115
08293,究,0495,1,2,116
08354,立,0496,1,2,117
08365,竟,0497,1,21,117
08376,端,0498,1,2,117
08412,第,0499,1,22,118
08426,等,0500,1,33,118
08437,答,0501,1,3,118
08603,籍,0502,1,2,118
08831,絯,0503,1,2,120
08924,緣,0504,1,6,120
08856,經,0505,1,11,120
09125,罪,0506,1,2,122
09144,羅,0507,1,3,122
09177,義,0508,1,14,123
09214,習,0509,1,2,124
09255,者,0510,1,110,125
09264,而,0513,1,27,126
09290,耳,0514,1,4,128
09308,聖,0515,1,3,128
09314,聚,0516,1,11,128
09315,聞,0517,1,11,128
09328,聲,0518,1,7,128
09429,能,0519,1,23,130
09462,脩,0520a,2,18,130
09462b,脩,0520b,2,1,130
09463,脱,0521,1,3,130
09602,自,0522,1,26,132
09610,至,0523,1,23,133
09638,舍,0524,1,5,135
09665,般,0525,1,5,137
09716,色,0526,1,3,139
09788,若,0527,1,42,140
09789,苦,0528,1,12,140
09846,草,0529,1,3,140
09869,莊,0530,1,33,140
09886,莫,0531,1,5,140
09921,華,0532,1,11,140
09919,菩,0533,1,82,140
09941,萌,0535,1,2,140
09972,著,0536,1,3,140
10040,蓋,0537,1,2,140
10050,蓮,0538,1,3,140
10163,薩,0539,1,57,140
10204,藥,0541,1,2,140
10270,處,0542,1,16,141
10272,虛,0543,1,7,141
10614,行,0544,1,27,144
10714,補,0545,1,3,145
10820,西,0546,1,2,146
10822,要,0547,1,3,146
10831,見,0548,1,9,147
10856,覺,0549,1,10,147
10859,觀,0550a,2,23,147
10859b,觀,0550b,2,1,147
10875,解,0551,1,2,148
10890,言,0552,1,53,149
10928,設,0554,1,2,149
10939,註,0555,1,3,149
11025,虔,0556,1,15,149
11028,誰,0557,1,2,149
11058,論,0558,1,8,149
11085,諸,0559,1,33,149
11095,謂,0560,1,19,149
11155,證,0561,1,13,149
11171,識,0562,1,2,149
11189,譬,0563,1,6,149
11195,議,0564,1,12,149
11229,讚,0565,1,4,149
11253,豈,0566,1,3,151
11342,貪,0567,1,3,154
11397,賢,0568,1,2,154
11432,贊,0569,1,3,154
11461,起,0570,1,4,156
11467,超,0571,1,3,156
11485,趣,0572,1,2,156
11495,足,0573,1,5,157
11715,身,0574,1,66,158
11826,輩,0576,1,2,159
11827,輪,0577,1,7,159
11856,轉,0578,1,9,159
11948,近,0579,1,3,162
11960,迦,0580,1,5,162
12000,通,0581,1,10,162
12022,進,0582,1,4,162
12042,遊,0583,1,9,162
12046,過,0584,1,2,162
12052,達,0585,1,4,162
11996,逕,0586,1,3,162
12054,違,0587,1,6,162
12070,遠,0588,1,20,162
12074,遣,0589,1,2,162
12108,還,0590,1,7,162
12134,那,0591,1,4,163
12139,邪,0592,1,4,163
12914,障,0593,1,12,170
12376,量,0594,1,11,166
12698,長,0595,1,5,168
12709,門,0596,1,44,169
12716,開,0597,1,5,169
12724,間,0598,1,8,169
12830,阿,0599,1,17,170
12831,陀,0600,1,17,170
12855,除,0601,1,3,170
12892,階,0602,1,2,170
12927,隨,0603,1,10,170
12963,集,0604,1,3,172
12991,雖,0605,1,6,172
12997,雜,0606,1,4,172
13001,離,0607,1,20,172
13002,難,0608,1,3,172
13103,靜,0609,1,8,174
13104,非,0610,1,28,175
13296,頂,0611,1,3,181
13302,順,0612,1,12,181
13304,須,0613,1,4,181
13380,顏,0614,1,2,181
13391,願,0615,1,44,181
13395,顚,0616a,2,2,181
13395b,顚,0616b,2,1,181
13398,類,0617,1,4,181
13416,顯,0618,1,5,181
13503,食,0619,1,4,184
13551,養,0620,1,10,184
13661,首,0621,1,5,185
13934,體,0622a,2,8,188
13934b,體,0622b,2,1,188
13940,高,0623,1,3,189
14828,齊,0624,1,2,210
00128,事,0625a,2,8,006
00128b,事,0625b,2,2,006
00132,于,0626a,2,1,007
00132b,于,0626b,2,1,007
00759,初,0627a,2,7,018
00759b,初,0627b,2,1,018
05643,正,0628a,2,15,077
05643b,正,0628b,2,9,077
06272,淨,0629a,2,62,085
06272b,淨,0629b,2,20,085
06872,無,0631a,2,103,086
06872b,無,0631b,2,1,086
08165,禮,0634a,2,3,113
08165b,禮,0634b,2,2,113
09175,羣,0635a,2,3,123
09175b,羣,0635b,2,1,123
09629,與,0636a,2,11,134
09629b,與,0636b,2,1,134
09954,萬,0637a,2,2,140
09954b,萬,0637b,2,1,140
12051,道,0638a,2,9,162
12051b,道,0638b,2,2,162
12913,際,0639a,2,1,170
12913b,際,0639b,2,1,170
13565,餘,0640a,2,6,184
13565b,餘,0640b,2,1,184
12371,釋,0641a,3,3,165
12371b,釋,0641b,3,2,165
12371c,釋,0641c,3,2,165
