統合ID,文字,カード番号,字体数,用例数,部首,枚数
00135,五,0001,0 ,1 ,007,1 
00152,交,0002,0 ,1 ,008,1 
00183,他,0003,0 ,1 ,009,1 
00260,00260,0004,0 ,1 ,009,1 
00388,倨,0005,0 ,1 ,009,1 
00467,傲,0006,0 ,1 ,009,1 
00489,像,0007,0 ,1 ,009,1 
00605,其,0008,0 ,1 ,012,1 
00759,初,0009,0 ,1 ,018,1 
00843,劍,0010,0 ,1 ,018,1 
00845,劑,0011,0 ,1 ,018,1 
00856,力,0012,0 ,1 ,019,1 
00857,功,0013,0 ,1 ,019,1 
00900,勤,0014,0 ,1 ,019,1 
00985,十,0015,0 ,1 ,024,1 
01172,吉,0016,0 ,1 ,030,1 
01179,向,0017,0 ,1 ,030,1 
01189,吠,0018,0 ,1 ,030,1 
01216,吽,0019,0 ,1 ,030,1 
01276,咤,0020,0 ,1 ,030,1 
01319,哩,0021,0 ,1 ,030,1 
01353,01353,0022,0 ,1 ,030,1 
01508,01508,0023,0 ,1 ,030,1 
01556,01556,0024,0 ,1 ,030,1 
01611,因,0025,0 ,1 ,031,1 
01647,圖,0026,0 ,1 ,031,1 
01682,坐,0027,0 ,1 ,032,1 
01726,垢,0028,0 ,1 ,032,1 
01913,壽,0029,0 ,1 ,033,1 
02119,娜,0030,0 ,1 ,038,1 
02232,嬉,0031,0 ,1 ,038,1 
02295,02295,0032,0 ,1 ,039,1 
02325,定,0033,0 ,1 ,040,1 
02342,宮,0034,0 ,1 ,040,1 
02598,峻,0035,0 ,1 ,046,1 
02758,02758,0036,0 ,1 ,046,1 
02881,幡,0037,0 ,1 ,050,1 
02897,干,0038,0 ,1 ,051,1 
03042,弓,0039,0 ,1 ,057,1 
03064,弱,0040,0 ,1 ,057,1 
03084,彌,0041,0 ,1 ,057,1 
03116,影,0042,0 ,1 ,059,1 
03128,往,0043,0 ,1 ,060,1 
03172,徳,0044,0 ,1 ,060,1 
03214,念,0045,0 ,1 ,061,1 
03220,忿,0046,0 ,1 ,061,1 
03239,思,0047,0 ,1 ,061,1 
03272,恐,0048,0 ,1 ,061,1 
03365,惟,0049,0 ,1 ,061,1 
03379,惹,0050,0 ,1 ,061,1 
03612,戒,0051,0 ,1 ,062,1 
03640,戸,0052,0 ,1 ,063,1 
03750,拔,0053,0 ,1 ,064,1 
03785,按,0054,0 ,1 ,064,1 
03835,捨,0055,0 ,1 ,064,1 
04192,攝,0056,0 ,1 ,064,1 
04198,04198,0057,0 ,1 ,064,1 
04216,支,0058,0 ,1 ,065,1 
04263,救,0059,0 ,1 ,066,1 
04280,散,0060,0 ,1 ,066,1 
04286,敬,0061,0 ,1 ,066,1 
04298,數,0062,0 ,1 ,066,1 
04349,斛,0063,0 ,1 ,068,1 
04376,新,0064,0 ,1 ,069,1 
04391,施,0065,0 ,1 ,070,1 
04645,曩,0066,0 ,1 ,072,1 
04653,曳,0067,0 ,1 ,073,1 
04713,本,0068,0 ,1 ,075,1 
04747,杜,0069,0 ,1 ,075,1 
05580,欲,0070,0 ,1 ,076,1 
05639,歡,0071,0 ,1 ,076,1 
05643,正,0072,0 ,1 ,077,1 
05645,歩,0073,0 ,1 ,077,1 
05983,汝,0074,0 ,1 ,085,1 
06031,沙,0075,0 ,1 ,085,1 
06151,流,0076,0 ,1 ,085,1 
06285,深,0077,0 ,1 ,085,1 
06290,清,0078,0 ,1 ,085,1 
06630,澀,0079,0 ,1 ,085,1 
06641,濟,0080,0 ,1 ,085,1 
06750,灑,0081,0 ,1 ,085,1 
06882,焔,0082,0 ,1 ,086,1 
06918,照,0083,0 ,1 ,086,1 
06971,燈,0084,0 ,1 ,086,1 
07091,犂,0085,0 ,1 ,093,1 
07481,申,0086,0 ,1 ,102,1 
07503,畏,0087,0 ,1 ,102,1 
07717,皆,0088,0 ,1 ,106,1 
07827,眞,0089,0 ,1 ,109,1 
07941,知,0090,0 ,1 ,111,1 
07944,矩,0091,0 ,1 ,111,1 
08097,示,0092,0 ,1 ,113,1 
08116,祕,0093,0 ,1 ,113,1 
08412,第,0094,0 ,1 ,118,1 
08479,箭,0095,0 ,1 ,118,1 
08795,終,0096,0 ,1 ,120,1 
08817,絡,0097,0 ,1 ,120,1 
08889,綵,0098,0 ,1 ,120,1 
09011,09011,0099,0 ,1 ,120,1 
09249,耀,0100,0 ,1 ,124,1 
09308,聖,0101,0 ,1 ,128,1 
09315,聞,0102,0 ,1 ,128,1 
09716,色,0103,0 ,1 ,139,1 
10204,藥,0104,0 ,1 ,140,1 
10683,被,0105,0 ,1 ,145,1 
10714,補,0106,0 ,1 ,145,1 
10820,西,0107,0 ,1 ,146,1 
10837,視,0108,0 ,1 ,147,1 
10860,角,0109,0 ,1 ,148,1 
10896,計,0110,0 ,1 ,149,1 
10928,設,0111,0 ,1 ,149,1 
10974,詣,0112,0 ,1 ,149,1 
11084,諷,0113,0 ,1 ,149,1 
11185,警,0114,0 ,1 ,149,1 
11261,豐,0115,0 ,1 ,151,1 
11355,貴,0116,0 ,1 ,154,1 
11471,越,0117,0 ,1 ,156,1 
11495,足,0118,0 ,1 ,157,1 
11960,迦,0119,0 ,1 ,162,1 
12120,邏,0120,0 ,1 ,162,1 
M53244,M53244,0121,0 ,1 ,030,1 
12421,鈿,0122,0 ,1 ,167,1 
M55984,鑁,0123,0 ,1 ,167,1 
12724,間,0124,0 ,1 ,169,1 
12742,12742,0125,0 ,1 ,169,1 
12830,阿,0126,0 ,1 ,170,1 
12838,降,0127,0 ,1 ,170,1 
13047,霓,0128,0 ,1 ,173,1 
13108,面,0129,0 ,1 ,176,1 
13293,響,0130,0 ,1 ,180,1 
13297,頃,0131,0 ,1 ,181,1 
13304,須,0132,0 ,1 ,181,1 
13376,題,0133,0 ,1 ,181,1 
13409,顧,0134,0 ,1 ,181,1 
13849,驗,0135,0 ,1 ,187,1 
00001,一,0136,1 ,286 ,001,6 
00007,三,0142,1 ,86 ,001,2 
00008,上,0144,1 ,2 ,001,1 
00009,下,0145,1 ,4 ,001,1 
00013,不,0146,1 ,14 ,001,1 
00025,世,0147,1 ,83 ,001,2 
00051,中,0149,1 ,18 ,002,1 
00070,主,0150,1 ,6 ,003,1 
00078,乃,0151,1 ,5 ,004,1 
00088,之,0152,1 ,2 ,004,1 
00102,乘,0153,1 ,2 ,004,1 
00108,乞,0154,1 ,2 ,005,1 
00128,事,0155,1 ,3 ,006,1 
00154,亦,0156,1 ,2 ,008,1 
00184,仗,0157,1 ,4 ,009,1 
00193,令,0158,1 ,15 ,009,1 
00194,以,0159,1 ,20 ,009,1 
00217,伏,0160,1 ,7 ,009,1 
00236,伽,0161,1 ,27 ,009,1 
00245,住,0162,1 ,30 ,009,1 
00255,佛,0163,1 ,53 ,009,2 
00256,作,0165,1 ,22 ,009,1 
00279,使,0166,1 ,4 ,009,1 
00282,來,0167,1 ,198 ,009,4 
00299,供,0171,1 ,40 ,009,1 
00301,依,0172,1 ,21 ,009,1 
00321,便,0173,1 ,6 ,009,1 
00493,僕,0174,1 ,2 ,009,1 
00506,僮,0175,1 ,2 ,009,1 
00516,儀,0176,1 ,11 ,009,1 
00567,光,0177,1 ,19 ,010,1 
00582,入,0178,1 ,48 ,011,1 
00594,八,0179,1 ,5 ,012,1 
00606,具,0180,1 ,4 ,012,1 
00723,出,0181,1 ,83 ,017,2 
00734,分,0183,1 ,2 ,018,1 
00735,切,0184,1 ,257 ,018,6 
00767,利,0190,1 ,7 ,018,1 
00781,刹,0191,1 ,3 ,018,1 
00789,則,0192,1 ,28 ,018,1 
00794,前,0193,1 ,2 ,018,1 
00858,加,0194,1 ,14 ,019,1 
00879,勅,0195,1 ,2 ,019,1 
00881,勇,0196,1 ,2 ,019,1 
00887,動,0197,1 ,4 ,019,1 
00893,勝,0198,1 ,15 ,019,1 
01010,南,0199,1 ,26 ,024,1 
01034,印,0200,1 ,44 ,026,1 
01049,即,0201,1 ,12 ,026,1 
01112,友,0202,1 ,5 ,029,1 
01128,受,0203,1 ,6 ,029,1 
01141,口,0204,1 ,2 ,030,1 
01158,右,0205,1 ,2 ,030,1 
01168,各,0206,1 ,2 ,030,1 
01170,合,0207,1 ,2 ,030,1 
01175,名,0208,1 ,44 ,030,1 
01235,周,0209,1 ,2 ,030,1 
01305,哉,0210,1 ,19 ,030,1 
01395,善,0211,1 ,7 ,030,1 
01455,01455,0212,1 ,26 ,030,1 
01523,器,0213,1 ,5 ,030,1 
01569,01569,0214,1 ,27 ,030,1 
01581,嚴,0215,1 ,17 ,030,1 
01594,01594,0216,1 ,17 ,030,1 
01607,四,0217,1 ,8 ,031,1 
01627,固,0218,1 ,9 ,031,1 
01641,圍,0219,1 ,2 ,031,1 
01659,在,0220,1 ,3 ,032,1 
01666,地,0221,1 ,36 ,032,1 
01748,01748,0222,1 ,23 ,032,1 
01798,場,0223,1 ,2 ,032,1 
01839,境,0224a,2 ,2 ,032,1 
01839b,境,0224b,2 ,1 ,032,1 
01878,壇,0225a,2 ,10 ,032,1 
01878b,壇,0225b,2 ,1 ,032,1 
01934,外,0226,1 ,3 ,036,1 
01938,多,0227,1 ,5 ,036,1 
01946,大,0228,1 ,92 ,037,2 
01947,天,0230,1 ,14 ,037,1 
01972,奇,0231,1 ,23 ,037,1 
01974,奉,0232,1 ,5 ,037,1 
02022,女,0233,1 ,17 ,038,1 
02031,如,0234,1 ,214 ,038,5 
02045,妙,0239,1 ,9 ,038,1 
02069,始,0240,1 ,2 ,038,1 
02105,威,0241,1 ,5 ,038,1 
02142,婆,0242,1 ,26 ,038,1 
02151,婢,0243,1 ,2 ,038,1 
02308,守,0244,1 ,3 ,040,1 
02344,宰,0245,1 ,3 ,040,1 
02357,寂,0246,1 ,2 ,040,1 
02361,密,0247,1 ,6 ,040,1 
02407,寶,0248,1 ,31 ,040,1 
02429,尊,0249,1 ,53 ,041,2 
02464,就,0251,1 ,8 ,043,1 
02473,尼,0252a,2 ,8 ,044,1 
02473b,尼,0252b,2 ,1 ,044,1 
02589,峰,0253,1 ,10 ,046,1 
02774,左,0254,1 ,10 ,048,1 
02775,巧,0255,1 ,2 ,048,1 
02783,已,0256,1 ,43 ,049,1 
02820,帝,0257,1 ,2 ,050,1 
02835,師,0258,1 ,3 ,050,1 
02882,幢,0259,1 ,2 ,050,1 
02899,平,0260,1 ,3 ,051,1 
02902,并,0261,1 ,2 ,051,1 
02993,廣,0262,1 ,8 ,053,1 
03044,引,0263,1 ,7 ,057,1 
03079,彈,0264,1 ,3 ,057,1 
03101,形,0265,1 ,18 ,059,1 
03124,彼,0266,1 ,58 ,060,2 
03138,後,0268,1 ,2 ,060,1 
03145,得,0269,1 ,6 ,060,1 
03151,從,0270,1 ,65 ,060,2 
03157,03157,0272,1 ,19 ,060,1 
03165,微,0273a,2 ,22 ,060,1 
03165b,微,0273b,2 ,1 ,060,1 
03179,心,0274,1 ,64 ,061,2 
03229,怒,0276,1 ,6 ,061,1 
03233,怖,0277,1 ,2 ,061,1 
03244,性,0278,1 ,7 ,061,1 
03309,悦,0279a,2 ,6 ,061,1 
03309b,悦,0279b,2 ,3 ,061,1 
03312,悉,0280,1 ,4 ,061,1 
03348,情,0281,1 ,8 ,061,1 
03395,意,0282,1 ,9 ,061,1 
03402,愍,0283,1 ,2 ,061,1 
03405,愛,0284,1 ,2 ,061,1 
03439,慈,0285,1 ,8 ,061,1 
03462,慧,0286,1 ,2 ,061,1 
03550,應,0287,1 ,19 ,061,1 
03610,成,0288,1 ,19 ,062,1 
03611,我,0289,1 ,36 ,062,1 
03647,所,0290,1 ,18 ,063,1 
03659,手,0291,1 ,5 ,064,1 
03690,承,0292,1 ,2 ,064,1 
03713,03713,0293,1 ,3 ,064,1 
03770,拳,0294,1 ,10 ,064,1 
03780,持,0295,1 ,39 ,064,1 
03783,指,0296,1 ,3 ,064,1 
03855,授,0297,1 ,6 ,064,1 
03858,掌,0298,1 ,5 ,064,1 
04008,摧,0299,1 ,7 ,064,1 
04009,摩,0300,1 ,53 ,064,2 
04069,播,0302,1 ,2 ,064,1 
04243,故,0303a,2 ,21 ,066,1 
04243b,故,0303b,2 ,16 ,066,1 
04261,教,0304,1 ,10 ,066,1 
04385,方,0305,1 ,9 ,070,1 
04389,於,0306,1 ,19 ,070,1 
04446,日,0307,1 ,22 ,072,1 
04450,旨,0308,1 ,2 ,072,1 
04485,明,0309,1 ,17 ,072,1 
04505,昧,0310,1 ,51 ,072,2 
04523,時,0312,1 ,36 ,072,1 
04557,普,0313,1 ,3 ,072,1 
04569,智,0314,1 ,20 ,072,1 
04660,曼,0315,1 ,17 ,073,1 
04664,最,0316,1 ,5 ,073,1 
04667,會,0317,1 ,5 ,073,1 
04673,月,0318,1 ,20 ,074,1 
04674,有,0319,1 ,12 ,074,1 
04806,果,0320,1 ,4 ,075,1 
04848,染,0321,1 ,3 ,075,1 
04871,柱,0322,1 ,2 ,075,1 
05010,梵,0323,1 ,27 ,075,1 
05152,業,0324,1 ,16 ,075,1 
05161,極,0325,1 ,5 ,075,1 
05279,樂,0326,1 ,8 ,075,1 
05293,樓,0327,1 ,10 ,075,1 
05558,次,0328,1 ,2 ,076,1 
05609,歌,0329,1 ,4 ,076,1 
05644,此,0330,1 ,39 ,077,1 
05841,比,0331,1 ,2 ,081,1 
05845,毘,0332,1 ,35 ,081,1 
06074,法,0333,1 ,12 ,085,1 
06086,波,0334,1 ,6 ,085,1 
06182,海,0335,1 ,3 ,085,1 
06272,淨,0336,1 ,4 ,085,1 
06476,滿,0337,1 ,3 ,085,1 
06603,澤,0338,1 ,2 ,085,1 
06872,無,0339,1 ,21 ,086,1 
06978,燒,0340,1 ,3 ,086,1 
07032,爲,0341,1 ,62 ,087,2 
07043,爾,0343,1 ,24 ,089,1 
07076,牢,0344,1 ,4 ,093,1 
07241,獲,0345,1 ,5 ,094,1 
07262,王,0346,1 ,8 ,096,1 
07304,現,0347,1 ,3 ,096,1 
07307,理,0348,1 ,3 ,096,1 
07461,生,0349,1 ,39 ,100,1 
07479,由,0350,1 ,19 ,102,1 
07480,甲,0351,1 ,9 ,102,1 
07525,畫,0352,1 ,5 ,102,1 
07535,當,0353,1 ,2 ,102,1 
07591,疾,0354,1 ,3 ,104,1 
07710,百,0355,1 ,4 ,106,1 
07759,益,0356,1 ,2 ,108,1 
07779,盡,0357,1 ,8 ,108,1 
07785,盧,0358,1 ,28 ,108,1 
07801,相,0359,1 ,2 ,109,1 
07843,眼,0360,1 ,4 ,109,1 
07844,衆,0361,1 ,11 ,109,1 
08057,磨,0362,1 ,33 ,112,1 
08124,神,0363,1 ,7 ,113,1 
08165,禮,0364,1 ,18 ,113,1 
08244,種,0365,1 ,6 ,115,1 
08248,稱,0366,1 ,3 ,115,1 
08296,空,0367,1 ,13 ,116,1 
08354,立,0368,1 ,8 ,117,1 
08376,端,0369,1 ,3 ,117,1 
08396,笑,0370,1 ,3 ,118,1 
08426,等,0371,1 ,44 ,118,1 
08437,答,0372,1 ,4 ,118,1 
08685,精,0373,1 ,10 ,119,1 
08767,索,0374,1 ,2 ,120,1 
08807,結,0375,1 ,3 ,120,1 
08916,線,0376,1 ,4 ,120,1 
08963,縛,0377,1 ,18 ,120,1 
09073,纔,0378,1 ,20 ,120,1 
09144,羅,0379,1 ,24 ,122,1 
09182,羯,0380,1 ,31 ,123,1 
09255,者,0381,1 ,6 ,125,1 
09264,而,0382,1 ,31 ,126,1 
09292,耶,0383,1 ,52 ,128,2 
09314,聚,0385,1 ,24 ,128,1 
09429,能,0386,1 ,7 ,130,1 
09463,脱,0387,1 ,4 ,130,1 
09602,自,0388,1 ,34 ,132,1 
09610,至,0389,1 ,6 ,133,1 
09643,舒,0390,1 ,4 ,135,1 
09656,舞,0391,1 ,5 ,136,1 
09758,花,0392,1 ,2 ,140,1 
09788,若,0393,1 ,2 ,140,1 
09863,荼,0394,1 ,17 ,140,1 
09869,莊,0395a,2 ,4 ,140,1 
09869b,莊,0395b,2 ,1 ,140,1 
09919,菩,0396,1 ,32 ,140,1 
09921,華,0397,1 ,5 ,140,1 
10050,蓮,0398,1 ,4 ,140,1 
10163,薩,0399,1 ,66 ,140,2 
10191,藏,0401,1 ,3 ,140,1 
10270,處,0402,1 ,6 ,141,1 
10272,虚,0403,1 ,2 ,141,1 
10276,號,0404,1 ,4 ,141,1 
10414,蜜,0405,1 ,2 ,142,1 
10614,行,0406,1 ,2 ,144,1 
10831,見,0407,1 ,2 ,147,1 
10856,覺,0408,1 ,2 ,147,1 
10875,解,0409,1 ,4 ,148,1 
10890,言,0410,1 ,2 ,149,1 
10936,訶,0411,1 ,11 ,149,1 
10969,詠,0412,1 ,5 ,149,1 
11008,誓,0413,1 ,2 ,149,1 
11017,語,0414,1 ,2 ,149,1 
11023,誦,0415,1 ,4 ,149,1 
11025,説,0416,1 ,33 ,149,1 
11038,調,0417,1 ,6 ,149,1 
11049,請,0418,1 ,9 ,149,1 
11085,諸,0419,1 ,20 ,149,1 
11155,證,0420,1 ,2 ,149,1 
11200,護,0421,1 ,6 ,149,1 
11229,讚,0422,1 ,5 ,149,1 
11342,貪,0423,1 ,2 ,154,1 
11384,11384,0424,1 ,2 ,154,1 
11461,起,0425,1 ,2 ,156,1 
11485,趣,0426,1 ,3 ,156,1 
11548,路,0427,1 ,2 ,157,1 
11715,身,0428,1 ,44 ,158,1 
11744,軌,0429,1 ,3 ,159,1 
11827,輪,0430,1 ,29 ,159,1 
11856,轉,0431,1 ,5 ,159,1 
12003,速,0432,1 ,5 ,162,1 
12022,進,0433,1 ,11 ,162,1 
12042,遊,0434,1 ,4 ,162,1 
12052,達,0435,1 ,2 ,162,1 
12079,適,0436,1 ,2 ,162,1 
12083,遮,0437,1 ,28 ,162,1 
12115,邊,0438a,2 ,8 ,162,1 
12115b,邊,0438b,2 ,1 ,162,1 
12376,量,0439,1 ,8 ,166,1 
12380,金,0440,1 ,236 ,167,5 
12441,鉤,0445,1 ,10 ,167,1 
12573,鎖,0446,1 ,3 ,167,1 
12709,門,0447,1 ,11 ,169,1 
12714,閉,0448,1 ,2 ,169,1 
12739,閣,0449,1 ,10 ,169,1 
12831,陀,0450,1 ,26 ,170,1 
12883,隅,0451,1 ,7 ,170,1 
12927,隨,0452,1 ,2 ,170,1 
12963,集,0453,1 ,12 ,172,1 
12994,雙,0454,1 ,4 ,172,1 
13001,離,0455,1 ,4 ,172,1 
13002,難,0456,1 ,8 ,172,1 
13020,雲,0457,1 ,4 ,173,1 
13103,靜,0458,1 ,2 ,174,1 
13296,頂,0459,1 ,10 ,181,1 
13391,願,0460,1 ,3 ,181,1 
13542,飾,0461,1 ,9 ,184,1 
13565,餘,0462,1 ,5 ,184,1 
13661,首,0463,1 ,6 ,185,1 
13667,香,0464,1 ,10 ,186,1 
13934,體,0465,1 ,24 ,188,1 
13999,鬘,0466,1 ,4 ,190,1 
14088,魔,0467,1 ,7 ,194,1 
00635,冑,0468a,2 ,6 ,013,1 
00635b,冑,0468b,2 ,1 ,013,1 
00803,剛,0469a,2 ,232 ,018,5 
00803b,剛,0469b,2 ,4 ,018,5 
01150,召,0474a,2 ,6 ,030,1 
01150b,召,0474b,2 ,3 ,030,1 
01412,喜,0475a,2 ,7 ,030,1 
01412b,喜,0475b,2 ,1 ,030,1 
01767,堅,0476a,2 ,20 ,032,1 
01767b,堅,0476b,2 ,2 ,032,1 
01818,塗,0477a,2 ,5 ,032,1 
01818b,塗,0477b,2 ,1 ,032,1 
02309,安,0478a,2 ,16 ,040,1 
02309b,安,0478b,2 ,2 ,040,1 
03159,復,0479a,2 ,28 ,060,1 
03159b,復,0479b,2 ,6 ,060,1 
03237,怛,0480a,2 ,2 ,061,1 
03237b,怛,0480b,2 ,1 ,061,1 
03636,戲,0481a,2 ,5 ,062,1 
03636b,戲,0481b,2 ,1 ,062,1 
03896,提,0482a,2 ,2 ,064,1 
03896b,提,0482b,2 ,1 ,064,1 
04293,敵,0483a,2 ,4 ,066,1 
04293b,敵,0483b,2 ,2 ,066,1 
04412,族,0484a,2 ,4 ,070,1 
04412b,族,0484b,2 ,1 ,070,1 
04512,是,0485a,2 ,9 ,072,1 
04512b,是,0485b,2 ,2 ,072,1 
04608,暴,0486a,2 ,4 ,072,1 
04608b,暴,0486b,2 ,1 ,072,1 
06748,灌,0487a,2 ,8 ,085,1 
06748b,灌,0487b,2 ,1 ,085,1 
07065,牙,0488a,2 ,6 ,092,1 
07065b,牙,0488b,2 ,1 ,092,1 
07501,界,0489a,2 ,46 ,102,2 
07501b,界,0489b,2 ,5 ,102,2 
09629,與,0491a,2 ,3 ,134,1 
09629b,與,0491b,2 ,3 ,134,1 
10859,觀,0492a,2 ,2 ,147,1 
10859b,觀,0492b,2 ,2 ,147,1 
11397,賢,0493a,2 ,1 ,154,1 
11397b,賢,0493b,2 ,1 ,154,1 
12134,那,0494a,2 ,20 ,163,1 
12134b,那,0494b,2 ,12 ,163,1 
13551,養,0495a,2 ,28 ,184,1 
13551b,養,0495b,2 ,10 ,184,1 
12000,通,0496a,3 ,6 ,162,1 
12000b,通,0496b,3 ,1 ,162,1 
12000c,通,0496c,3 ,1 ,162,1 
01831,塵,0497a,4 ,16 ,032,1 
01831b,塵,0497b,4 ,3 ,032,1 
01831c,塵,0497c,4 ,3 ,032,1 
01831d,塵,0497d,4 ,1 ,032,1 